name2	Frequency
LOC782061	38
PLEKHA8	37
TECRL	34
FKBP14	33
ZNF804B	33
GBP4	31
MTURN	31
GBP6	28
FGF14	26
CERS6	24
GABRG1	24
FAM221A	19
MIR2353	18
SOAT1	18
CFH	17
SCRN1	17
STK39	17
ASPSCR1	16
LOC790886	16
NOSTRIN	13
CNTN5	12
CYHR1	12
ENTPD8	11
NOXA1	11
SHANK3	11
SLC6A18	11
GIMAP7	10
GLT8D1	10
RTEL1	10
SPCS1	10
ABCG2	9
LCORL	9
PBRM1	9
PDCD1	9
ADGRA1	8
ADGRL3	8
CDH9	8
CENPX	8
CRAMP1	8
CTNNA3	8
DCXR	8
JPT2	8
LOC100847712	8
MAPK8IP3	8
MIR2346	8
MIR3141	8
MRPS34	8
NME3	8
NUBP2	8
SPSB3	8
ADCK5	7
CDH12	7
CLDN7	7
CPSF1	7
DGAT1	7
GRIA4	7
KIF21A	7
LFNG	7
MIR12029	7
RABL6	7
SCRT1	7
SLC2A4	7
SLC39A4	7
SLC52A2	7
SS18L2	7
TBC1D12	7
TONSL	7
USP15	7
VPS28	7
YBX2	7
AGFG2	6
B3GNT5	6
BTN1A1	6
C8G	6
CALCRL	6
CCSER1	6
CDH18	6
CFAP299	6
CLIC3	6
CLIP1	6
DGKB	6
EDF1	6
FBXW5	6
GALNT13	6
GART	6
H1-3	6
H3C6	6
H3C8	6
H4C16	6
H4C6	6
H4C7	6
H4C8	6
HGFAC	6
HSF1	6
IGFALS	6
JMJD1C	6
KCNB1	6
LOC100196901	6
LRCH4	6
LRRC45	6
MAMDC4	6
MOSPD3	6
MZF1	6
NPDC1	6
NSG1	6
PAXX	6
PCOLCE	6
PHPT1	6
PTGDS	6
RALYL	6
RANBP1	6
RFC5	6
SON	6
TANGO2	6
TFR2	6
UBE2M	6
WSB2	6
ACAP1	5
ACTL6B	5
AGPAT2	5
ARFRP1	5
ATF7IP	5
BRAT1	5
BRINP3	5
CARD9	5
CHRNB1	5
CLCN7	5
CYLC2	5
EGFL7	5
EIF5A	5
ENTR1	5
FGF11	5
FNDC11	5
FOXH1	5
GMEB2	5
GNB2	5
GPS2	5
GRIK2	5
H1-12	5
H2BC5	5
H2BC8	5
H4C4	5
INPP5E	5
KCTD11	5
KIFC2	5
LOC616942	5
MIR11980	5
MIR126	5
NEURL4	5
NLGN2	5
PAEP	5
PAQR4	5
PLSCR3	5
PMPCA	5
PPP6R3	5
PTK6	5
SPEM1	5
SRMS	5
STMN3	5
TMEM102	5
TMEM256	5
TMEM95	5
TNFRSF6B	5
UNC13C	5
ZBTB46	5
ZGPAT	5
ZPBP	5
ABHD16B	4
ALYREF	4
ANAPC11	4
ARFGAP1	4
ARHGDIA	4
ARMC7	4
B2M	4
C25H16orf91	4
CCAR1	4
CHMP2A	4
CHRNA4	4
CNPY3	4
DDT	4
DUS1L	4
EEF1A2	4
EEF1D	4
EEFSEC	4
EPS15	4
GABRA2	4
GAL	4
GCGR	4
GET4	4
GNMT	4
GNPTG	4
GPS1	4
GRIFIN	4
GSTT1	4
GSTT2	4
GSTT4	4
H2AC6	4
IFITM3	4
INSL3	4
KIRREL3	4
KLF12	4
LOC511617	4
LRRIQ1	4
MAFG	4
MAPK11	4
MAPK12	4
MCRIP1	4
MIR124B	4
MIR2347	4
MROH1	4
MYADML2	4
NCOA4	4
NDST4	4
NDUFV2	4
NPB	4
NT5C	4
P4HB	4
PCYT2	4
PEX6	4
PKN2	4
PLXDC2	4
PLXNB2	4
PPDPF	4
PPP1R27	4
PTCRA	4
PUF60	4
PYCR1	4
RAC3	4
RXRA	4
SIRT7	4
SLC27A5	4
STAM	4
TESMIN	4
TMEM204	4
TPD52L2	4
TRIM28	4
TSR3	4
UBE2I	4
VPS54	4
YTHDF1	4
ZNF644	4
ADGRL4	3
ADSS1	3
AFMID	3
AKT1	3
AKT3	3
ALDH7A1	3
ARID4B	3
ARRDC3	3
ARVCF	3
ATG4B	3
ATP5PD	3
B3GNT3	3
BCHE	3
C25H7orf61	3
CACNA2D1	3
CCND2	3
CHST12	3
CLDN10	3
CNGB1	3
COMT	3
CORO1B	3
CTDNEP1	3
D2HGDH	3
DCUN1D1	3
DDX31	3
DGCR8	3
DPP10	3
DTYMK	3
DVL2	3
ELOB	3
ENTPD2	3
ERO1A	3
FAHD1	3
FAM78A	3
FASN	3
FGFR3	3
FIZ1	3
FUT7	3
GABARAP	3
GFER	3
GID8	3
GNB1L	3
GPX4	3
GTF3C4	3
HAGH	3
HSDL2	3
ING5	3
KYAT1	3
LENG1	3
LOC534155	3
LOC786948	3
LRPAP1	3
LRRC8A	3
LUZP2	3
LYPLA1	3
MBOAT7	3
MIR10164	3
MIR10179	3
MIR1225	3
MIR1306	3
MIR1777A	3
MIR185	3
MIR2361	3
MRPL15	3
NCAPG	3
NTHL1	3
PCDH7	3
PHF23	3
POLD4	3
POLR2A	3
PPP1CA	3
PPP2R5D	3
PRKAR1A	3
PSMC6	3
PTPRCAP	3
RAB26	3
RAD18	3
RAD9A	3
RDX	3
RERGL	3
RLF	3
RNF157	3
RPN1	3
RPS6KB2	3
SEPTIN5	3
SH3BP2	3
SIRPB1	3
SIVA1	3
SLBP	3
SLC17A9	3
SLC35G6	3
SLC9A3R2	3
STYX	3
SYNGR2	3
SYNGR3	3
TACC3	3
TBC1D10C	3
TBC1D7	3
TBL3	3
TCEA1	3
THAP4	3
THEMIS	3
TK1	3
TLL1	3
TMC4	3
TMEM129	3
TNIP2	3
TPSB2	3
TPT1	3
TRAF7	3
TSC22D4	3
TSEN34	3
TXNRD2	3
UFD1	3
VPS37B	3
VSTM2A	3
ZBTB4	3
ZNF524	3
ZNF784	3
ABCB9	2
ABI1	2
ABTB1	2
ACACA	2
ACADVL	2
ACBD5	2
ADAP1	2
ADARB2	2
ADD1	2
AK8	2
AKR1A1	2
AKR7A2	2
ALCAM	2
ANTKMT	2
ARSG	2
ATP5F1D	2
BCL2L12	2
BET1	2
BPHL	2
C16H1orf159	2
C17H22orf39	2
C25H16orf54	2
C25H7orf50	2
CCDC183	2
CD2BP2	2
CDC45	2
CDH10	2
CDR2L	2
CEP131	2
CFL1	2
CIRBP	2
CLBA1	2
CLDN5	2
CLPTM1L	2
CNTN6	2
COPZ2	2
COX19	2
CPNE7	2
CRAT	2
CYC1	2
CYSLTR2	2
CYSRT1	2
DCTPP1	2
DEXI	2
DGCR2	2
DHTKD1	2
DNASE1L2	2
DOLK	2
DOLPP1	2
DPM2	2
DYNC1I2	2
DYNC2I2	2
E4F1	2
ECHDC3	2
ECI1	2
EFEMP2	2
EFNA2	2
EIF3B	2
ELP4	2
EMSY	2
ENDOG	2
ENKUR	2
ERCC6L2	2
ESS2	2
EXOC7	2
EXOSC4	2
FADS6	2
FAM102A	2
FAM174C	2
FBXL16	2
FDXR	2
FERMT3	2
FKBP2	2
FOXJ1	2
FSCN1	2
FST	2
FUCA1	2
FYB1	2
GALNTL6	2
GAMT	2
GATA2	2
GLE1	2
GNA12	2
GNAS	2
GPAA1	2
GPBP1L1	2
GPR146	2
GPR22	2
GSDMD	2
H1-2	2
H4C1	2
H4C2	2
H4C3	2
HERC4	2
HFE	2
HFM1	2
HID1	2
HMGCL	2
IER5L	2
IFITM1	2
IGF2BP2	2
IPO11	2
IPP	2
IQGAP3	2
IRF3	2
IRGQ	2
ISG15	2
ISOC2	2
JMJD6	2
JPT1	2
KCND2	2
KCNJ3	2
KCNMB2	2
KIF22	2
KNTC1	2
LHX3	2
LOC100125776	2
LOC100196899	2
LOC107131142	2
LOC115945165	2
LOC516108	2
LOC785762	2
LRRC7	2
LTN1	2
LYPLA2	2
MAF1	2
MCRIP2	2
METRN	2
METTL23	2
METTL26	2
MFSD11	2
MGAT4C	2
MGC134040	2
MGLL	2
MIER3	2
MIF	2
MIGA2	2
MIR12014	2
MIR12015	2
MIR12019	2
MIR12056	2
MIR1839	2
MIR1842	2
MIR2285BS	2
MIR2285J-1	2
MIR2309	2
MIR2345	2
MIR2348	2
MIR2382	2
MIR2389	2
MIR2893	2
MIR324	2
MIR339A	2
MIR551A	2
MIR6531	2
MIR8549	2
MLST8	2
