Chr	SNP_Freq_tar	SNP_Freq_def	Difference
0	1447	14118	12671
1	8093	7197	896
2	7094	6371	723
3	6386	5715	671
4	6114	5450	664
5	6702	6026	676
6	7349	6683	666
7	6353	5698	655
8	5732	5072	660
9	5425	4854	571
10	5291	4781	510
11	5474	4890	584
12	4628	4122	506
13	4283	3828	455
14	5249	4793	456
15	4396	3896	500
16	4175	3685	490
17	3815	3393	422
18	3384	3005	379
19	3246	2886	360
20	4169	3772	397
21	3583	3247	336
22	3151	2803	348
23	2728	2410	318
24	3673	3338	335
25	2230	1968	262
26	2703	2387	316
27	2413	2075	338
28	2369	2074	295
29	2641	2327	314
30	5000	5055	55
31	60	18	42
32	613	8	605
33	8	0	8
99	6	2038	2032
