Chr	SNP_Freq_tar	SNP_Freq_def	Difference	Length_tar	Length_def	tar_Density	def_Density
0	1447	14118	12671				
1	8093	7197	896	158.523093	158.855123	51	45
2	7094	6371	723	136.188613	136.908437	52	47
3	6386	5715	671	120.957517	123.148964	53	46
4	6114	5450	664	119.841669	120.641946	51	45
5	6702	6026	676	120.071585	125.058666	56	48
6	7349	6683	666	117.767753	122.509741	62	55
7	6353	5698	655	110.639263	112.610067	57	51
8	5732	5072	660	113.255527	113.626199	51	45
9	5425	4854	571	104.59798	105.688974	52	46
10	5291	4781	510	103.229238	104.25358	51	46
11	5474	4890	584	106.942315	107.28296	51	46
12	4628	4122	506	87.141742	91.131021	53	45
13	4283	3828	455	83.457392	84.230359	51	45
14	5249	4793	456	82.390633	84.628243	64	57
15	4396	3896	500	85.00718	85.272311	52	46
16	4175	3685	490	80.86391	81.68807	52	45
17	3815	3393	422	73.155293	75.132928	52	45
18	3384	3005	379	65.81437	65.999195	51	46
19	3246	2886	360	63.432318	64.044783	51	45
20	4169	3772	397	71.958242	71.971771	58	52
21	3583	3247	336	69.808854	71.573501	51	45
22	3151	2803	348	60.710593	61.378199	52	46
23	2728	2410	318	52.407352	52.465632	52	46
24	3673	3338	335	62.277921	62.643699	59	53
25	2230	1968	262	42.292572	42.851121	53	46
26	2703	2387	316	51.990348	51.663776	52	46
27	2413	2075	338	45.500252	45.388171	53	46
28	2369	2074	295	45.913154	46.224056	52	45
29	2641	2327	314	51.072873	51.492483	52	45
30	5000	5055	55	133.140229	148.816634	38	34
31	60	18	42				
32	613	8	605				
33	8	0	8				
99	6	2038	2032				
