Sample_ID	n	total_length	min_length	max_length	means	F_roh
201094560008_R01C01	56	284.732613	1.186547	21.759214	5.08451094642857	0.114378651201541
201094560008_R01C02	37	176.32125	1.244678	17.423946	4.76543918918919	0.0708292125046096
201094560008_R02C01	59	257.884124	1.106046	14.372632	4.3709173559322	0.103593466019332
201094560008_R02C02	35	170.030389	1.064561	15.482832	4.85801111428572	0.0683021391620263
201094560008_R03C01	71	323.849134	1.106046	22.245802	4.5612554084507	0.130091972076649
201094560008_R03C02	61	279.330051	1.033879	16.000093	4.57918116393443	0.112208412435838
201094560008_R04C01	91	572.777096	1.058141	26.067788	6.2942538021978	0.230087698733744
201094560008_R04C02	54	375.634336	1.094773	32.077386	6.95619140740741	0.150894371543826
201094560008_R05C01	19	51.054007	1.363543	9.672417	2.687053	0.0205086744281522
201094560008_R05C02	61	335.502164	1.189215	30.699451	5.50003547540984	0.13477305809545
201094560008_R06C01	13	60.889636	1.329811	17.45805	4.68381815384615	0.0244597005044617
201094560008_R06C02	52	298.878799	1.094773	29.82218	5.74766921153846	0.120061251650005
201094560008_R07C01	46	231.056217	1.258883	20.798126	5.02296123913044	0.0928165487393277
201094560008_R07C02	44	206.727259	1.011966	24.054321	4.69834679545455	0.0830434729688365
201094560008_R08C01	11	42.114139	1.047742	12.156744	3.82855809090909	0.0169174804550198
201094560008_R08C02	16	50.662333	1.02407	9.582953	3.1663958125	0.0203513368356695
201094560008_R09C01	40	190.223056	1.531281	13.800925	4.7555764	0.0764136441676783
201094560008_R09C02	41	204.879213	1.089095	31.660087	4.99705397560976	0.0823011027618859
201094560008_R10C01	38	155.95401	1.35727	11.891518	4.10405289473684	0.0626475805680598
201094560008_R10C02	75	458.832205	1.108425	26.731085	6.11776273333333	0.184315411511112
201094560008_R11C01	78	556.260968	1.106046	50.510396	7.13155087179487	0.223453079594727
201094560008_R11C02	80	384.693519	1.329447	16.98937	4.8086689875	0.154533495006399
201094560008_R12C01	49	210.153719	1.12173	30.699451	4.28885140816327	0.0844199007305416
201094560008_R12C02	80	416.045709	1.160846	23.728501	5.2005713625	0.167127841564145
201094560026_R01C01	70	259.383751	1.106046	16.41551	3.70548215714286	0.104195874404371
201094560026_R01C02	45	172.317549	1.000253	22.121973	3.82927886666667	0.0692209038694682
201094560026_R03C01	47	194.350128	1.200094	11.792235	4.13510910638298	0.0780715116096901
201094560026_R03C02	54	262.290582	1.102229	17.524786	4.857233	0.105363564348799
201094560026_R05C01	72	440.682829	1.072343	25.245706	6.12059484722222	0.177024707699007
201094560026_R05C02	55	231.704035	1.249915	18.641971	4.21280063636364	0.0930767807804816
201094560026_R07C01	22	46.164967	1.152295	3.723842	2.09840759090909	0.0185447202643543
201094560026_R07C02	44	233.21352	1.13816	17.863213	5.30030727272727	0.0936831491781508
201094560058_R01C01	81	372.67572	1.07742	27.318607	4.60093481481482	0.149705879281076
201094560058_R01C02	51	225.010293	1.203238	17.109505	4.41196652941176	0.0903878679320925
201094560058_R02C01	53	236.267182	1.106067	17.209478	4.45787135849057	0.0949098219400286
201094560058_R02C02	27	61.173838	1.198515	7.761941	2.2656977037037	0.024573866005513
201094560058_R03C01	63	304.326853	1.002041	25.46859	4.83058496825397	0.122249764801441
201094560058_R03C02	17	38.329515	1.137317	5.656769	2.25467735294118	0.0153971762514933
201094560058_R04C01	21	61.886958	1.135443	8.429563	2.946998	0.0248603302179734
201094560058_R04C02	48	234.972221	1.241099	18.670393	4.89525460416667	0.0943896290089203
201094560058_R05C01	45	166.884249	1.072343	12.10933	3.70853886666667	0.0670383174806961
201094560058_R05C02	73	335.674848	1.002041	21.975145	4.5982855890411	0.134842426204695
201094560058_R06C02	20	66.776899	1.375354	7.474811	3.33884495	0.0268246463184094
201094560058_R07C01	72	345.810514	1.308571	16.225235	4.80292380555556	0.138913978788344
201094560058_R07C02	22	60.860717	1.135443	9.565481	2.76639622727273	0.0244480835836628
201094560058_R08C01	37	171.082502	1.151511	13.491634	4.62385140540541	0.0687247787205359
201094560058_R08C02	58	284.078298	1.094773	22.858394	4.89790168965517	0.114115809279879
201094560058_R09C01	41	223.742894	1.055621	23.01698	5.45714375609756	0.0898787468074457
201094560058_R09C02	95	647.974471	1.259229	29.376743	6.82078390526316	0.260294896412208
201094560058_R10C01	67	275.00969	1.135443	19.350736	4.10462223880597	0.11047289974315
201094560058_R10C02	41	205.367614	1.227242	30.692808	5.00896619512195	0.0824972961204088
201094560058_R11C01	40	255.50678	1.288735	29.408243	6.3876695	0.10263847390481
201094560058_R11C02	48	158.424869	1.011966	11.048569	3.30051810416667	0.0636401381706172
201094560058_R12C01	41	211.672003	1.256373	20.403687	5.16273178048781	0.0850298037347362
201094560058_R12C02	29	73.060507	1.237175	5.70787	2.51932782758621	0.0293488060911406
201094560059_R02C01	8	25.199448	1.115822	6.515723	3.149931	0.0101227563744634
201094560059_R02C02	39	164.723022	1.325257	16.919037	4.22366723076923	0.0661701407495664
201094560059_R04C01	23	85.90311	1.048365	10.906236	3.73491782608696	0.0345077501038409
201094560059_R04C02	38	156.998473	1.417651	21.72666	4.13153876315789	0.0630671470796413
201094560059_R06C01	67	348.959206	1.135443	15.34172	5.20834635820896	0.140178825622061
201094560059_R06C02	38	167.413843	1.040674	19.744186	4.40562744736842	0.0672510582930892
201094560059_R07C01	19	72.20731	1.147952	10.319898	3.80038473684211	0.0290060721800476
201094560059_R07C02	24	81.396817	1.202515	12.796249	3.39153404166667	0.0326975475076987
201094560059_R08C01	56	196.861194	1.07742	11.028418	3.51537846428571	0.0790802205845136
201094560059_R08C02	61	274.082683	1.12173	27.625145	4.49315873770492	0.11010051595052
201094560059_R09C01	13	66.036561	1.97205	16.098027	5.07973546153846	0.0265272484861729
201094560059_R09C02	16	53.609858	1.13482	17.995771	3.350616125	0.0215353737829328
201094560059_R10C01	88	721.227963	1.332657	32.60458	8.19577230681818	0.289721225635558
201094560059_R10C02	65	326.583992	1.293037	18.587513	5.02436910769231	0.131190579524429
201094560059_R11C01	67	270.566619	1.030036	24.908111	4.03830774626866	0.108688093770914
201094560059_R11C02	48	218.936041	1.376267	13.33911	4.56116752083333	0.0879478076119975
201094560059_R12C01	80	389.12149	1.020993	23.762282	4.864018625	0.156312235225875
201094560059_R12C02	71	363.322072	1.241099	23.728501	5.11721228169014	0.145948467614102
201094560060_R02C01	21	75.96915	1.002778	12.27021	3.61757857142857	0.0305172239258998
201094560060_R02C02	19	64.440273	1.027181	13.054644	3.39159331578947	0.0258860108476548
201094560060_R04C01	27	141.820591	1.142196	23.051048	5.25261448148148	0.056970108693469
201094560060_R04C02	13	44.929788	1.267493	9.833332	3.45613753846154	0.0180485420902986
201094560060_R06C01	22	51.057523	1.145577	3.502714	2.3207965	0.0205100868246226
201094560060_R06C02	67	357.7262	1.110675	28.861552	5.33919701492537	0.143700575161907
201094560060_R07C01	35	201.362917	1.15935	25.773732	5.7532262	0.0808885873866086
201094560060_R07C02	12	25.676315	1.298732	4.553441	2.13969291666667	0.0103143164619709
201094560060_R08C01	66	364.070687	1.247084	27.596921	5.51622253030303	0.146249190362603
201094560060_R08C02	28	121.480503	1.216835	15.340157	4.33858939285714	0.0487993838641336
201094560060_R09C01	11	31.047447	1.152423	3.867958	2.82249518181818	0.0124719296244134
201094560060_R09C02	28	92.981832	1.052018	10.712065	3.32077971428571	0.0373513115282242
201094560060_R10C01	54	288.401732	1.241298	26.637607	5.34077281481481	0.115852556413509
201094560060_R10C02	78	497.634427	1.450765	34.436264	6.37992855128205	0.199902476755312
201094560060_R11C01	13	42.58081	1.214753	6.689573	3.27544692307692	0.0171049447534452
201094560060_R11C02	86	517.190738	1.010099	37.724519	6.01384579069767	0.207758354068031
201094560060_R12C01	23	51.395786	1.1222	5.777389	2.23459939130435	0.0206459689256708
201094560060_R12C02	81	392.93831	1.110295	20.957824	4.85109024691358	0.157845472739061
201094560067_R02C01	23	69.63039	1.123745	10.080836	3.02740826086957	0.0279709092924922
201094560067_R02C02	23	73.192391	1.17661	7.006245	3.18227786956522	0.029401784616769
201094560067_R04C01	9	32.183796	1.429752	7.855408	3.57597733333333	0.0129284072458028
201094560067_R04C02	23	83.678233	1.163601	14.129867	3.63818404347826	0.033614004818859
201094560067_R06C01	47	187.750771	1.220929	16.070661	3.99469725531915	0.0754205137331053
201094560067_R06C02	45	232.979367	1.476288	30.692808	5.17731926666667	0.0935890886347075
201094560067_R07C01	33	147.39333	1.037708	14.702315	4.46646454545455	0.0592087084927769
201094560067_R07C02	16	62.538471	1.452593	15.834753	3.9086544375	0.0251220465608789
201094560067_R08C01	60	348.362868	1.073747	23.69978	5.8060478	0.139939273379058
201094560067_R08C02	63	287.274697	1.097311	17.420294	4.55991582539683	0.115399820276968
201094560067_R09C01	24	56.948006	1.256369	5.797917	2.37283358333333	0.0228763261302185
201094560067_R09C02	51	225.573921	1.19963	15.126766	4.42301805882353	0.0906142803888188
201094560067_R10C01	62	366.64022	1.375937	27.431957	5.91355193548387	0.147281385851772
201094560067_R10C02	75	442.727609	1.100547	26.759538	5.90303478666667	0.177846107032015
201094560067_R11C01	40	244.341583	1.229391	27.413594	6.108539575	0.0981533530758187
201094560067_R11C02	50	236.152846	1.042455	31.756482	4.72305692	0.0948638925421771
201094560067_R12C01	60	260.186242	1.177137	22.923963	4.33643736666667	0.104518239437355
201094560067_R12C02	15	32.205541	1.405022	3.554446	2.14703606666667	0.0129371423314825
201094560068_R01C01	36	161.41676	1.12173	15.482832	4.48379888888889	0.0648419971832412
201094560068_R03C01	62	290.574936	1.332657	15.655571	4.68669251612903	0.116725544371182
201094560068_R03C02	30	132.047943	1.480163	19.149008	4.4015981	0.053044382430045
201094560068_R05C02	66	253.449136	1.013905	23.890697	3.84013842424242	0.101811907032497
201094560068_R07C01	17	48.372963	1.166366	7.024412	2.84546841176471	0.0194316843591151
201094560068_R07C02	57	278.286845	1.201243	19.338983	4.88222535087719	0.111789350868045
201094560076_R01C01	67	386.056806	1.317114	24.98369	5.76204188059702	0.155081134866188
201094560076_R01C02	70	323.054195	1.000253	14.49838	4.61505992857143	0.129772640723456
201094560076_R03C01	24	61.846926	1.121902	13.87284	2.57695525	0.0248442491441665
201094560076_R03C02	52	216.119598	1.162549	11.792235	4.15614611538462	0.086816427022567
201094560076_R05C01	66	345.697758	1.203238	20.422466	5.23784481818182	0.138868684085152
201094560076_R05C02	64	379.721163	1.134419	23.728501	5.933143171875	0.152536072348764
201094560076_R07C01	48	220.920601	1.223118	34.584284	4.60251252083333	0.0887450162409526
201094560076_R07C02	89	512.034151	1.205644	38.622043	5.75319270786517	0.205686924807965
201094560078_R02C01	39	200.723004	1.302466	19.008532	5.14674369230769	0.0806315308272803
201094560078_R02C02	10	44.870426	1.537199	10.251454	4.4870426	0.018024696049548
201094560078_R04C01	20	68.62167	1.298732	6.538567	3.4310835	0.0275657009399105
201094560078_R04C02	49	227.424035	1.002041	17.578516	4.64130683673469	0.0913574813227037
201094560078_R06C01	69	359.547749	1.094773	23.394035	5.21083694202899	0.144432301378734
201094560078_R06C02	48	239.087938	1.220929	19.713475	4.98099870833333	0.0960429350851977
201094560078_R07C01	10	37.615075	1.28556	6.990263	3.7615075	0.0151101817877983
201094560078_R07C02	23	86.959767	1.32835	10.922104	3.78085943478261	0.0349322150120552
201094560078_R08C01	41	169.15431	1.189511	20.178607	4.12571487804878	0.067950213426122
201094560078_R08C02	56	267.914049	1.139486	22.412233	4.78417944642857	0.107622541863737
201094560078_R09C01	48	193.169185	1.393151	16.373708	4.02435802083333	0.0775971203340904
201094560078_R09C02	21	64.632936	1.209274	7.962256	3.07775885714286	0.0259634046307001
201094560078_R10C01	68	301.988534	1.053062	17.851383	4.44100785294118	0.121310449243307
201094560078_R10C02	72	366.689288	1.072674	26.384597	5.09290677777778	0.147301096736304
201094560078_R11C01	64	321.933946	1.111972	17.984153	5.03021790625	0.129322630560307
201094560078_R11C02	13	41.863064	1.315749	7.063503	3.22023569230769	0.0168166222514307
201094560078_R12C01	43	142.125538	1.07742	9.870933	3.30524506976744	0.0570926075747192
201094560078_R12C02	66	397.789685	1.111911	27.974428	6.02711643939394	0.159794296665925
201094560082_R01C01	35	128.315297	1.05078	9.403422	3.66615134285714	0.051544958073999
201094560082_R01C02	36	143.372398	1.091186	8.640093	3.98256661111111	0.0575934780704961
201094560082_R02C01	53	263.617424	1.135443	24.702015	4.97391366037736	0.105896564052341
201094560082_R02C02	50	305.24246	1.000086	28.853644	6.1048492	0.12261756915159
201094560082_R03C01	64	295.770211	1.105066	24.98369	4.621409546875	0.11881251481289
201094560082_R03C02	55	240.969946	1.140346	14.060362	4.38127174545455	0.0967989480136869
201094560082_R04C01	72	391.537187	1.255634	20.572628	5.43801648611111	0.157282633950701
201094560082_R04C02	65	386.143778	1.260187	20.271354	5.94067350769231	0.155116071995263
201094560082_R05C01	47	220.184678	1.072343	20.912973	4.68478038297872	0.0884493919384137
201094560082_R05C02	29	114.509645	1.356995	11.810743	3.94860844827586	0.0459991519997301
201094560082_R06C01	28	115.130782	1.042455	14.506429	4.11181364285714	0.046248666136951
201094560082_R06C02	10	38.745648	1.281245	17.604956	3.8745648	0.0155643391583306
201094560082_R07C01	46	227.023452	1.043201	16.919003	4.93529243478261	0.0911965649360927
201094560082_R07C02	26	58.522355	1.1617	5.958603	2.25085980769231	0.0235087507521935
201094560082_R08C01	14	50.460573	1.168303	10.07432	3.60432664285714	0.0202702887378655
201094560082_R08C02	15	51.849536	1.339759	7.801818	3.45663573333333	0.0208282427875789
201094560082_R09C01	21	54.79338	1.27176	5.125521	2.60920857142857	0.0220108010569675
201094560082_R09C02	47	243.545328	1.405014	25.086976	5.1818154893617	0.0978334930782129
201094560082_R10C01	44	168.81661	1.072343	17.125345	3.83674113636364	0.0678145574852594
201094560082_R10C02	61	318.197746	1.39388	17.827203	5.21635649180328	0.127821778542982
201094560082_R11C01	69	297.520672	1.312758	30.776687	4.31189379710145	0.119515684590497
201094560082_R11C02	61	382.570126	1.4251	22.03475	6.27164140983607	0.15368051640043
201094560082_R12C01	49	303.088675	1.255265	27.534385	6.18548316326531	0.121752381912648
201094560082_R12C02	55	259.311443	1.181596	27.413594	4.71475350909091	0.104166827884466
