Sample_ID	n	total_length	Mean	SD	min_length	max_length	Froh_1Mb	Froh_2Mb	Froh_4Mb	Froh_8Mb	Froh_16Mb
201094560008_R01C01	56	284.732613	5.08	4.2	1.186547	21.759214	0.114	0.108	0.083	0.054	0.009
201094560008_R01C02	37	176.32125	4.77	3.63	1.244678	17.423946	0.071	0.063	0.051	0.027	0.007
201094560008_R02C01	59	257.884124	4.37	3.46	1.106046	14.372632	0.104	0.094	0.07	0.044	
201094560008_R02C02	35	170.030389	4.86	3.78	1.064561	15.482832	0.068	0.063	0.052	0.025	
201094560008_R03C01	71	323.849134	4.56	3.99	1.106046	22.245802	0.13	0.121	0.083	0.058	0.016
201094560008_R03C02	61	279.330051	4.58	3.38	1.033879	16.000093	0.112	0.104	0.074	0.038	0.006
201094560008_R04C01	91	572.777096	6.29	5.44	1.058141	26.067788	0.23	0.218	0.191	0.141	0.051
201094560008_R04C02	54	375.634336	6.96	5.83	1.094773	32.077386	0.151	0.148	0.127	0.083	0.042
201094560008_R05C01	19	51.054007	2.69	1.88	1.363543	9.672417	0.021	0.015	0.006	0.004	
201094560008_R05C02	61	335.502164	5.5	5.68	1.189215	30.699451	0.135	0.128	0.101	0.063	0.038
201094560008_R06C01	13	60.889636	4.68	4.92	1.329811	17.45805	0.024	0.022	0.015	0.015	0.007
201094560008_R06C02	52	298.878799	5.75	5.55	1.094773	29.82218	0.12	0.113	0.094	0.065	0.019
201094560008_R07C01	46	231.056217	5.02	4.79	1.258883	20.798126	0.093	0.084	0.066	0.048	0.022
201094560008_R07C02	44	206.727259	4.7	4.65	1.011966	24.054321	0.083	0.075	0.06	0.03	0.018
201094560008_R08C01	11	42.114139	3.83	2.97	1.047742	12.156744	0.017	0.016	0.01	0.005	
201094560008_R08C02	16	50.662333	3.17	2.51	1.02407	9.582953	0.02	0.018	0.01	0.004	
201094560008_R09C01	40	190.223056	4.76	3.6	1.531281	13.800925	0.076	0.071	0.051	0.033	
201094560008_R09C02	41	204.879213	5	6.07	1.089095	31.660087	0.082	0.073	0.06	0.037	0.03
201094560008_R10C01	38	155.95401	4.1	2.58	1.35727	11.891518	0.063	0.059	0.04	0.013	
201094560008_R10C02	75	458.832205	6.12	5.62	1.108425	26.731085	0.184	0.176	0.151	0.099	0.05
201094560008_R11C01	78	556.260968	7.13	8.09	1.106046	50.510396	0.223	0.212	0.184	0.146	0.103
