name2	Frequency	ID	Chr	CNVR_Start	CNVR_End
PDX1	87	CNVR_450	12	32089643	32251435
LOC781990	49	CNVR_562	15	80329011	80842722
PRG3	49	CNVR_562	15	80329011	80842722
SLC43A3	49	CNVR_562	15	80329011	80842722
SSRP1	49	CNVR_562	15	80329011	80842722
FARP1	43	CNVR_469	12	75255512	76140566
LOC527068	38	CNVR_493	13	43643509	43790405
APLNR	37	CNVR_562	15	80329011	80842722
MIR12046	37	CNVR_562	15	80329011	80842722
ADGRL3	33	CNVR_251	6	75710255	78266400
CHN2	31	CNVR_157	4	66499835	66854427
RALYL	31	CNVR_529	14	77329830	78047789
LOC782922	29	CNVR_493	13	43643509	43790405
PRR15	27	CNVR_157	4	66499835	66854427
CERS6	23	CNVR_54	2	27366556	28035273
SLC43A1	21	CNVR_562	15	80329011	80842722
TIMM10	21	CNVR_562	15	80329011	80842722
UBE2L6	21	CNVR_562	15	80329011	80842722
MIR2353	20	CNVR_54	2	27366556	28035273
STK39	19	CNVR_54	2	27366556	28035273
GIPC1	18	CNVR_273	7	9771150	11340236
STX6	18	CNVR_584	16	61995348	62220133
DNAJB1	17	CNVR_273	7	9771150	11340236
NDUFB7	17	CNVR_273	7	9771150	11340236
TECR	17	CNVR_273	7	9771150	11340236
BRINP3	15	CNVR_571	16	14500474	16270589
KCND2	15	CNVR_166	4	84080999	85384769
LOC100616526	15	CNVR_304	7	87087169	88441282
TECRL	15	CNVR_252	6	78862493	84265468
DOCK9	14	CNVR_469	12	75255512	76140566
MR1	14	CNVR_584	16	61995348	62220133
TOX	14	CNVR_513	14	25015640	25015640
AMBN	13	CNVR_254	6	85838311	86053293
MECR	13	CNVR_86	2	124336317	124398570
SRSF4	13	CNVR_86	2	124336317	124398570
XPR1	13	CNVR_584	16	61995348	62220133
ATP10D	12	CNVR_250	6	65626399	66950498
CCSER1	12	CNVR_238	6	32449336	34967750
MIR12020	12	CNVR_53	2	26362611	26663654
ABCA1	10	CNVR_337	8	93245032	94722804
COL4A3	10	CNVR_84	2	115322601	115334808
MIR9-2	10	CNVR_304	7	87087169	88441282
NIPSNAP3A	10	CNVR_337	8	93245032	94722804
RNF145	10	CNVR_299	7	70621019	70822690
SCPEP1	10	CNVR_642	19	7762820	7856040
TRIM6	10	CNVR_548	15	47873132	47968279
CRELD2	9	CNVR_222	5	119319229	119333338
CTNNA3	9	CNVR_841	28	21095317	22551461
FER	9	CNVR_312	7	106364930	108575314
MEF2C	9	CNVR_304	7	87087169	88441282
POC1A	9	CNVR_746	22	48449810	48866871
STK24	9	CNVR_469	12	75255512	76140566
CD164	8	CNVR_357	9	40765749	40830221
CEP131	8	CNVR_668	19	51370101	51767413
CRAMP1	8	CNVR_785	25	853665	1791331
DEPTOR	8	CNVR_533	14	80908008	82067018
EMC2	8	CNVR_523	14	53003780	56606239
HEY1	8	CNVR_519	14	42508026	43453929
HS6ST3	8	CNVR_468	12	73363460	73497775
ICA1	8	CNVR_134	4	15900163	16260752
JPT2	8	CNVR_785	25	853665	1791331
MAPK8IP3	8	CNVR_785	25	853665	1791331
MGC152010	8	CNVR_253	6	84617088	84724544
MLC1	8	CNVR_223	5	119434691	119480891
MRPS34	8	CNVR_785	25	853665	1791331
NME3	8	CNVR_785	25	853665	1791331
NUBP2	8	CNVR_785	25	853665	1791331
SPSB3	8	CNVR_785	25	853665	1791331
SUN3	8	CNVR_131	4	7708368	7839646
UGT8	8	CNVR_230	6	8979081	11746541
ADGRB1	7	CNVR_508	14	1514056	2342883
ARC	7	CNVR_508	14	1514056	2342883
ASCC3	7	CNVR_359	9	48901956	49398875
CDH9	7	CNVR_696	20	45910295	49592680
DSCC1	7	CNVR_533	14	80908008	82067018
GABRB1	7	CNVR_250	6	65626399	66950498
GRIK2	7	CNVR_358	9	46500839	48531748
KCNAB3	7	CNVR_657	19	27569814	28031919
NDST4	7	CNVR_230	6	8979081	11746541
NOC3L	7	CNVR_809	26	15851149	15868599
PCDH7	7	CNVR_244	6	48776662	52941853
SLIT3	7	CNVR_677	20	1097986	1196509
TAF2	7	CNVR_533	14	80908008	82067018
THEM6	7	CNVR_508	14	1514056	2342883
TRAPPC1	7	CNVR_657	19	27569814	28031919
TRIM37	7	CNVR_645	19	9896033	9980268
AGPAT2	6	CNVR_435	11	103615735	104217085
CALCRL	6	CNVR_48	2	8798194	9454144
CASP4	6	CNVR_538	15	2432001	3441993
CDH18	6	CNVR_700	20	52461469	53957730
CYP3A5	6	CNVR_797	25	36407220	36725047
CYSRT1	6	CNVR_438	11	105645935	106492915
DGKB	6	CNVR_140	4	22420101	22775806
DUSP7	6	CNVR_746	22	48449810	48866871
EGFL7	6	CNVR_435	11	103615735	104217085
GALNT13	6	CNVR_62	2	40725572	42454257
