ID	Chr	i.Start	i.End	num_gene	gene_name
CNVR_1	1	1556392	1761967	4	ATP5PO,ITSN1,bta-mir-12045,bta-mir-2285bs
CNVR_2	1	1984725	2024917	2	SON,GART
CNVR_3	1	5321320	5372683	1	NA
CNVR_4	1	5519231	5569070	2	72299.1,52636.3
CNVR_5	1	6813154	6910759	1	BACH1
CNVR_6	1	7159731	7202401	2	RWDD2B,LTN1
CNVR_7	1	7260253	7280774	1	N6AMT1
CNVR_8	1	8831407	8873776	1	NA
CNVR_9	1	9666125	9708099	1	NA
CNVR_10	1	10954721	11033253	1	NA
CNVR_11	1	11541372	11604750	1	54428.3
CNVR_12	1	12453794	13395358	1	NA
CNVR_13	1	13643769	13735139	1	NA
CNVR_14	1	14064963	15727563	1	NCAM2
CNVR_15	1	15990556	16114873	1	NA
CNVR_16	1	16378859	18309665	1	NA
CNVR_17	1	18918611	19206010	1	NA
CNVR_18	1	20541415	20566611	2	82732.1,84992.1
CNVR_19	1	23172053	25019922	3	85450.1,64983.2,ROBO2
CNVR_20	1	25470169	25495578	1	NA
CNVR_21	1	26533913	27099907	1	NA
CNVR_22	1	27876441	28272873	1	NA
CNVR_23	1	29712048	29773499	1	NA
CNVR_24	1	30472317	32511532	1	NA
CNVR_25	1	33034361	33342088	1	65519.2
CNVR_26	1	33584316	33610831	1	NA
CNVR_27	1	38112817	38181686	1	NA
CNVR_28	1	38752163	40795725	1	NA
CNVR_29	1	41184151	41455680	1	EPHA6
CNVR_30	1	42466675	42574052	4	OR5H30,OR5H32,OR5H33,OR5H31
CNVR_31	1	42665290	42692592	2	OR5K19,OR5K22
CNVR_32	1	44571298	44649313	2	TBC1D23,NIT2
CNVR_33	1	45090218	45146168	1	ADGRG7
CNVR_34	1	46884964	46963727	1	ZPLD1
CNVR_35	1	47249572	49067075	1	U7
CNVR_36	1	49952651	50064432	1	ALCAM
CNVR_37	1	50767507	50809694	1	NA
CNVR_38	1	54797676	55040423	1	82372.1
CNVR_39	1	65615459	65778705	1	STXBP5L
CNVR_40	1	70145874	70404106	8	LMLN,RPL35A,IQCG,LRCH3,59602.3,79866.1,FYTTD1,RUBCN
CNVR_41	1	70995564	71042439	1	RNF168
CNVR_42	1	71238937	71380741	3	PIGX,PAK2,SENP5
CNVR_43	1	75707006	75732698	1	NA
CNVR_44	1	81343507	81416748	1	IGF2BP2
CNVR_45	1	83707085	83810343	3	MCF2L2,45699.4,B3GNT5
CNVR_46	1	84064869	84176862	2	DCUN1D1,ATP11B
CNVR_47	1	88063961	88278205	1	KCNMB2
CNVR_48	1	90705336	90742154	1	NA
CNVR_49	1	90828316	93051564	5	NAALADL2,86735.1,62346.2,60118.2,83297.1
CNVR_50	1	94706023	94804961	1	ECT2
CNVR_51	1	100412522	105472672	10	BCHE,86507.1,RNaseP_nuc,SLITRK3,80895.1,SI,80086.1,24367.5,39021.5,36586.4
CNVR_52	1	113427015	113486828	1	ARHGEF26
CNVR_53	1	120398043	120455085	1	NA
CNVR_54	1	121001134	121382033	1	81858.1
CNVR_55	1	122876909	123779281	1	NA
CNVR_56	1	143676439	143747418	2	HSF2BP,RRP1B
CNVR_57	1	143781586	143851649	2	PDXK,CSTB
CNVR_58	1	154034461	154064579	1	PLCL2
CNVR_59	1	154336232	154445682	1	TBC1D5
CNVR_60	1	157003140	157019589	1	NA
CNVR_61	1	157665979	157775990	3	24453.6,38997.5,14388.6
CNVR_62	1	157905244	157913264	1	72367.1
CNVR_63	2	204346	288663	1	NA
CNVR_64	2	2326560	2458209	1	86450.1
CNVR_65	2	6269501	6322314	1	MSTN
CNVR_66	2	7550253	8355987	1	GULP1
CNVR_67	2	8788884	9443359	3	TFPI,66114.2,CALCRL
CNVR_68	2	9813911	13056656	10	ZC3H15,73244.1,FSIP2,76926.1,75409.1,ZNF804A,81524.1,59188.3,72893.1,67339.1
CNVR_69	2	13522631	13637158	1	NCKAP1
CNVR_70	2	19191623	19230960	1	PDE11A
CNVR_71	2	19365290	19425494	1	AGPS
CNVR_72	2	24673731	24815717	2	SLC25A12,DYNC1I2
CNVR_73	2	25395889	25456418	1	TLK1
CNVR_74	2	26314361	26356161	1	UBR3
CNVR_75	2	27318294	27979992	5	NOSTRIN,CERS6,86034.1,bta-mir-2353,STK39
CNVR_76	2	29677272	29717162	1	NA
CNVR_77	2	31883917	32450315	1	NA
CNVR_78	2	33024101	33371557	1	NA
CNVR_79	2	34207757	34251649	1	FAP
CNVR_80	2	34552816	34703310	1	SLC4A10
CNVR_81	2	35769270	35793441	1	NA
CNVR_82	2	36335995	36379882	1	PLA2R1
CNVR_83	2	40036763	40178965	1	NA
CNVR_84	2	40567748	40888086	1	NA
CNVR_85	2	40946462	41235220	1	KCNJ3
CNVR_86	2	41646651	42342093	2	GALNT13,73880.1
CNVR_87	2	45279148	45336061	1	NA
CNVR_88	2	48014334	48055631	1	68008.1
CNVR_89	2	53138918	53401974	1	ARHGAP15
CNVR_90	2	54271830	54400029	1	NA
CNVR_91	2	55350431	57057615	2	LRP1B,83318.1
CNVR_92	2	57247941	57312184	1	NA
CNVR_93	2	63565463	63711962	1	NA
CNVR_94	2	63910767	64472720	1	NCKAP5
CNVR_95	2	66748754	66815647	1	NA
CNVR_96	2	67310989	67615665	1	DPP10
CNVR_97	2	67837589	68447622	1	59765.2
CNVR_98	2	77033487	78401150	2	87447.1,72683.1
CNVR_99	2	80924332	83267596	3	62980.2,70690.1,56431.3
CNVR_100	2	96821685	97013750	1	NA
CNVR_101	2	98018683	98062823	1	ACADL
CNVR_102	2	99371113	100152972	5	ERBB4,06897.6,67599.1,62408.2,82676.1
CNVR_103	2	108777666	108816422	1	NA
CNVR_104	2	110332803	110471585	2	PAX3,bta-mir-2284y-5
CNVR_105	2	112954557	113155761	1	DOCK10
CNVR_106	2	114523616	114535823	1	NA
CNVR_107	2	119309298	119361101	1	NA
CNVR_108	2	123741216	123802863	1	NA
CNVR_109	2	126955290	126976378	1	PDIK1L
CNVR_110	2	129061339	129121125	4	FUCA1,HMGCL,GALE,LYPLA2
CNVR_111	2	129781417	129915969	4	KDM1A,TEX46,LACTBL1,EPHB2
CNVR_112	2	134437290	134476837	1	NA
CNVR_113	2	135880908	136019931	5	CPLANE2,ARHGEF19,EPHA2,bta-mir-12026-1,FAM131C
CNVR_114	3	397758	454705	1	TIPRL
CNVR_115	3	9737010	9759429	1	IGSF9
CNVR_116	3	16760836	16820503	5	S100A13,S100A14,S100A16,S100A2,S100A3
CNVR_117	3	20706978	20756370	7	SV2A,BOLA1,H2AC20,H2AC21,84598.1,H2AC19,H4C14
CNVR_118	3	21383804	21424575	4	TXNIP,POLR3GL,ANKRD34A,RBM8A
CNVR_119	3	28845503	28971745	1	TRIM33
CNVR_120	3	30350337	30396757	1	SLC16A1
CNVR_121	3	31593802	31697365	1	RAP1A
CNVR_122	3	34307747	34387819	3	TAF13,17049.4,WDR47
CNVR_123	3	37209678	40032182	6	76227.1,20198.6,60970.3,AMY2B,RNPC3,86972.1
CNVR_124	3	41095470	41306744	1	NA
CNVR_125	3	43114547	43283206	5	LRRC39,TRMT13,SASS6,MFSD14A,SLC35A3
CNVR_126	3	43920523	43982066	1	PLPPR4
CNVR_127	3	51981186	52060111	3	HFM1,83268.1,64914.2
CNVR_128	3	52257274	52264697	1	ZNF644
CNVR_129	3	52321114	52363402	1	ZNF644
CNVR_130	3	54211974	54781990	8	31134.5,54358.3,GBP2,GBP4,GBP6,71063.1,33527.4,55586.3
CNVR_131	3	55075515	55189536	1	PKN2
CNVR_132	3	56635728	56711353	1	LMO4
CNVR_133	3	57352427	57392327	1	28657.3
CNVR_134	3	58919048	58938248	1	SYDE2
CNVR_135	3	62278399	62720838	1	ADGRL2
CNVR_136	3	63108408	65747448	5	87248.1,87474.1,83267.1,06592.6,ADGRL4
CNVR_137	3	68133029	68172039	1	NA
CNVR_138	3	68994261	69057163	1	MSH4
CNVR_139	3	69503016	69616165	1	SLC44A5
CNVR_140	3	69713184	69735264	1	80496.1
CNVR_141	3	70802677	72170955	1	NA
CNVR_142	3	72879334	73180249	2	NEGR1,06716.2
CNVR_143	3	75327867	75535019	1	LRRC7
CNVR_144	3	76432417	76525892	1	NA
CNVR_145	3	90468808	90478848	1	NA
CNVR_146	3	94818813	95038877	3	EPS15,TTC39A,RNF11
CNVR_147	3	100277178	100601230	12	IPP,52686.2,TMEM69,GPBP1L1,CCDC17,NASP,AKR1A1,PRDX1,MMACHC,43074.4,86108.1,TESK2
CNVR_148	3	105906709	105941874	1	RLF
CNVR_149	3	109750764	110033765	4	AGO3,AGO1,AGO4,CLSPN
CNVR_150	3	116951206	116992159	1	MLPH
CNVR_151	3	119471788	119559889	2	85850.1,P2RY8
CNVR_152	3	120634274	120886943	10	BOK,THAP4,ATG4B,DTYMK,ING5,D2HGDH,GAL3ST2,NEU4,PDCD1,RTP5
CNVR_153	4	190991	4139295	3	VSTM2A,62243.2,81468.1
CNVR_154	4	5815841	5868189	1	ZPBP
CNVR_155	4	6330228	6534219	1	NA
CNVR_156	4	7372107	7455891	1	ABCA13
CNVR_157	4	7803131	7906401	1	NA
CNVR_158	4	9623951	9706609	3	ANKIB1,73831.1,65300.2
CNVR_159	4	10554466	10785247	3	HEPACAM2,VPS50,CALCR
CNVR_160	4	12328781	12442325	1	PPP1R9A
CNVR_161	4	16887354	17012863	1	NXPH1
CNVR_162	4	17460946	18172340	1	NA
CNVR_163	4	19093963	19200647	1	77418.1
CNVR_164	4	20024131	20304105	1	NA
CNVR_165	4	20445754	20477053	1	NA
CNVR_166	4	22417069	22677610	1	DGKB
CNVR_167	4	23108150	23239528	1	DGKB
CNVR_168	4	23463134	23601651	2	69764.1,AGMO
CNVR_169	4	24769941	24787234	1	CRPPA
CNVR_170	4	30105605	30147821	1	NA
CNVR_171	4	34161540	34595587	1	NA
CNVR_172	4	35162460	35487581	1	SEMA3D
CNVR_173	4	36719984	37735828	2	SEMA3E,PCLO
CNVR_174	4	38363077	38577586	1	CACNA2D1
CNVR_175	4	41346098	41947025	3	68537.1,73020.1,87015.1
CNVR_176	4	45400553	45479387	1	ORC5
CNVR_177	4	48447077	48515994	2	COG5,GPR22
CNVR_178	4	52693559	52803700	1	NA
CNVR_179	4	54239052	54278625	1	NA
CNVR_180	4	56847089	57094891	2	IMMP2L,64599.2
CNVR_181	4	58269915	58772842	1	RGS2
CNVR_182	4	58841554	58862210	1	NA
CNVR_183	4	59421575	59566132	1	NA
CNVR_184	4	62197348	62228844	1	NPSR1
CNVR_185	4	66099208	66429603	5	MTURN,PLEKHA8,FKBP14,SCRN1,WIPF3
CNVR_186	4	66753486	66803742	1	CHN2
CNVR_187	4	68465623	68705234	2	HIBADH,60279.2
CNVR_188	4	71900384	72082867	3	STK31,FAM221A,ADAM22
CNVR_189	4	72803395	74003192	3	75661.1,TEX47,ZNF804B
CNVR_190	4	74657252	74678087	1	NA
CNVR_191	4	76717317	76815010	2	ZMIZ2,OGDH
CNVR_192	4	77973448	78071301	1	NA
CNVR_193	4	80312765	80347612	1	SUGCT
CNVR_194	4	83038296	84636118	2	08092.4,44586.3
CNVR_195	4	84792163	84829041	1	KCND2
CNVR_196	4	84948868	85008727	1	KCND2
CNVR_197	4	89094214	89183705	1	POT1
CNVR_198	4	90377921	90468283	1	NA
CNVR_199	4	92050350	92129716	1	SND1
CNVR_200	4	95067685	95166666	1	MKLN1
CNVR_201	4	96998183	97277561	2	EXOC4,bta-mir-2423
CNVR_202	4	105231989	105304020	2	TAS2R38,MGAM
CNVR_203	4	106108030	106133947	1	TRBV30
CNVR_204	4	106422540	106435387	3	OR6V1,73939.1,81195.1
CNVR_205	4	109506472	109533204	1	76887.1
CNVR_206	4	112837075	112994064	5	GIMAP8,67407.1,79610.1,57366.3,GIMAP7
CNVR_207	4	115362693	115381846	1	NA
CNVR_208	4	118951619	119082548	1	NA
CNVR_209	5	2586434	3885445	1	NA
CNVR_210	5	8029807	8295898	1	NA
CNVR_211	5	8328738	8415647	1	NA
CNVR_212	5	11058496	11551233	2	PPFIA2,30222.5
CNVR_213	5	12615390	12739512	1	NA
CNVR_214	5	13366807	14395978	1	19642.2
CNVR_215	5	14819458	14878496	1	LRRIQ1
CNVR_216	5	15646809	15860012	1	MGAT4C
CNVR_217	5	16194862	16221348	1	NA
CNVR_218	5	16426181	16842239	1	63977.2
CNVR_219	5	27040938	27114028	3	KRT8,KRT78,KRT79
CNVR_220	5	29594972	29606401	1	NA
CNVR_221	5	40559187	40689866	1	LRRK2
CNVR_222	5	41739940	41856142	1	KIF21A
CNVR_223	5	49769854	49803392	1	SRGAP1
CNVR_224	5	50066009	50182992	1	NA
CNVR_225	5	51021894	51204033	3	MON2,USP15,84117.1
CNVR_226	5	52159913	54311674	4	38258.4,SLC16A7,70088.1,67893.1
