name2_1	Frequency_1	ID_1	Chr_1	CNVR_Start_1	CNVR_End_1	Frequency_2	ID_2	Chr_2	CNVR_Start_2	CNVR_End_2	Common_Gene
00191.4	0	0	0	0	0	3	CNVR_472	11	56567317	59078754	Common_Low
00538.5	0	0	0	0	0	2	CNVR_750	19	50761431	51158110	Common_Low
01659.6	0	0	0	0	0	1	CNVR_397	9	48307662	48796022	Common_Low
01998.6	0	0	0	0	0	1	CNVR_797	21	20058560	20080310	Common_Low
02201.6	0	0	0	0	0	1	CNVR_744	19	41397913	41422493	Common_Low
02757.6	0	0	0	0	0	3	CNVR_432	10	24904079	25349755	Common_Low
02953.6	0	0	0	0	0	1	CNVR_710	18	61155737	61266875	Common_Low
03464.4	0	0	0	0	0	3	CNVR_526	13	19947737	20267627	Common_Low
03768.5	0	0	0	0	0	1	CNVR_450	10	98151248	98561555	Common_Low
04018.4	0	0	0	0	0	4	CNVR_334	7	32271801	32525437	Common_Low
04168.6	0	0	0	0	0	34	CNVR_539	13	43322783	43433183	High_Freq_list_2
04581.6	0	0	0	0	0	7	CNVR_290	6	84203997	84368516	Common_Low
04865.6	0	0	0	0	0	3	CNVR_600	15	49043365	49104529	Common_Low
05175.5	0	0	0	0	0	1	CNVR_800	21	29124387	29231528	Common_Low
05371.5	0	0	0	0	0	1	CNVR_237	5	86500786	86770273	Common_Low
06050.5	0	0	0	0	0	1	CNVR_707	18	57057494	57106651	Common_Low
06592.6	0	0	0	0	0	1	CNVR_136	3	63108408	65747448	Common_Low
06716.2	0	0	0	0	0	1	CNVR_142	3	72879334	73180249	Common_Low
06897.6	0	0	0	0	0	1	CNVR_102	2	99371113	100152972	Common_Low
08092.4	0	0	0	0	0	5	CNVR_194	4	83038296	84636118	Common_Low
08532.5	0	0	0	0	0	1	CNVR_295	6	102542717	102646839	Common_Low
08843.5	0	0	0	0	0	1	CNVR_828	22	24361162	25370093	Common_Low
09299.6	0	0	0	0	0	19	CNVR_850	23	27883512	28085043	Common_Low
09329.6	0	0	0	0	0	1	CNVR_247	5	106990076	107114180	Common_Low
09636.6	0	0	0	0	0	3	CNVR_883	25	854830	1789361	Common_Low
09854.5	0	0	0	0	0	17	CNVR_312	7	8782634	10494698	Common_Low
09867.6	0	0	0	0	0	5	CNVR_543	13	53822879	54521999	Common_Low
10897.6	0	0	0	0	0	4	CNVR_977	29	50198235	50224722	Common_Low
11887.5	0	0	0	0	0	1	CNVR_753	19	53607609	54071105	Common_Low
12086.6	0	0	0	0	0	1	CNVR_710	18	61155737	61266875	Common_Low
12124.6	0	0	0	0	0	1	CNVR_548	13	61361508	61444179	Common_Low
12349.6	0	0	0	0	0	11	CNVR_821	21	69122111	69808854	Common_Low
12632.5	0	0	0	0	0	1	CNVR_486	11	105779716	106470561	Common_Low
12873.6	0	0	0	0	0	1	CNVR_542	13	53461848	53510732	Common_Low
14364.6	0	0	0	0	0	1	CNVR_804	21	34773019	34852830	Common_Low
14388.6	0	0	0	0	0	17	CNVR_61	1	157665979	157775990	Common_Low
15344.6	0	0	0	0	0	1	CNVR_602	15	51514220	51644699	Common_Low
15699.6	0	0	0	0	0	1	CNVR_734	19	18592714	18694147	Common_Low
16120.5	0	0	0	0	0	3	CNVR_341	7	43369002	44022730	Common_Low
17034.4	0	0	0	0	0	2	CNVR_431	10	22796412	23703141	Common_Low
17049.4	0	0	0	0	0	1	CNVR_122	3	34307747	34387819	Common_Low
17359.6	0	0	0	0	0	1	CNVR_804	21	34773019	34852830	Common_Low
17363.6	0	0	0	0	0	1	CNVR_804	21	34773019	34852830	Common_Low
17886.6	0	0	0	0	0	1	CNVR_377	8	94169835	94348272	Common_Low
18484.5	0	0	0	0	0	30	CNVR_847	23	25560755	25730370	High_Freq_list_2
18855.6	0	0	0	0	0	1	CNVR_676	17	70683155	70984463	Common_Low
19241.6	0	0	0	0	0	1	CNVR_634	16	28154457	28321010	Common_Low
19642.2	0	0	0	0	0	1	CNVR_214	5	13366807	14395978	Common_Low
19939.4	0	0	0	0	0	67	CNVR_847	23	25560755	25730370	High_Freq_list_2
20198.6	0	0	0	0	0	3	CNVR_123	3	37209678	40032182	Common_Low
20549.6	0	0	0	0	0	7	CNVR_271	6	27332801	27950289	Common_Low
21371.4	0	0	0	0	0	2	CNVR_665	17	36611406	37589530	Common_Low
21490.5	0	0	0	0	0	1	CNVR_486	11	105779716	106470561	Common_Low
22334.6	0	0	0	0	0	7	CNVR_618	15	84028735	84813274	Common_Low
22920.5	0	0	0	0	0	2	CNVR_758	19	56293270	56677337	Common_Low
23234.6	0	0	0	0	0	1	CNVR_545	13	57367650	57558958	Common_Low
