window_id	number_roh	Chr	Start_win	End_win	prop_roh
Win_355	220	6	3.8e+07	4e+07	0.554
Win_649	170	11	6.6e+07	6.8e+07	0.428
Win_354	150	6	3.6e+07	3.8e+07	0.378
Win_382	143	6	9.2e+07	9.4e+07	0.36
Win_381	142	6	9e+07	9.2e+07	0.358
Win_366	135	6	6e+07	6.2e+07	0.34
Win_380	133	6	8.8e+07	9e+07	0.335
Win_650	132	11	6.8e+07	7e+07	0.332
Win_648	131	11	6.4e+07	6.6e+07	0.33
Win_859	123	16	2.8e+07	3e+07	0.31
Win_371	122	6	7e+07	7.2e+07	0.307
Win_856	117	16	2.2e+07	2.4e+07	0.295
Win_383	116	6	9.4e+07	9.6e+07	0.292
Win_360	115	6	4.8e+07	5e+07	0.29
Win_858	115	16	2.6e+07	2.8e+07	0.29
Win_365	113	6	5.8e+07	6e+07	0.285
Win_370	113	6	6.8e+07	7e+07	0.285
Win_857	111	16	2.4e+07	2.6e+07	0.28
Win_215	110	4	6e+06	8e+06	0.277
Win_1093	109	23	0	2e+06	0.275
Win_361	109	6	5e+07	5.2e+07	0.275
Win_367	109	6	6.2e+07	6.4e+07	0.275
Win_855	107	16	2e+07	2.2e+07	0.27
Win_357	106	6	4.2e+07	4.4e+07	0.267
Win_375	103	6	7.8e+07	8e+07	0.259
Win_1048	101	21	4.4e+07	4.6e+07	0.254
Win_216	101	4	8e+06	1e+07	0.254
Win_1049	100	21	4.6e+07	4.8e+07	0.252
Win_353	99	6	3.4e+07	3.6e+07	0.249
Win_384	99	6	9.6e+07	9.8e+07	0.249
Win_379	98	6	8.6e+07	8.8e+07	0.247
Win_315	96	5	8.4e+07	8.6e+07	0.242
Win_385	96	6	9.8e+07	1e+08	0.242
Win_854	96	16	1.8e+07	2e+07	0.242
Win_369	95	6	6.6e+07	6.8e+07	0.239
Win_229	92	4	3.4e+07	3.6e+07	0.232
Win_853	91	16	1.6e+07	1.8e+07	0.229
Win_228	90	4	3.2e+07	3.4e+07	0.227
Win_321	90	5	9.6e+07	9.8e+07	0.227
Win_322	90	5	9.8e+07	1e+08	0.227
Win_860	90	16	3e+07	3.2e+07	0.227
Win_1002	89	20	2.4e+07	2.6e+07	0.224
Win_372	89	6	7.2e+07	7.4e+07	0.224
Win_626	89	11	2e+07	2.2e+07	0.224
Win_376	88	6	8e+07	8.2e+07	0.222
Win_799	88	14	8e+07	8.2e+07	0.222
Win_296	87	5	4.6e+07	4.8e+07	0.219
Win_311	87	5	7.6e+07	7.8e+07	0.219
Win_377	87	6	8.2e+07	8.4e+07	0.219
Win_214	86	4	4e+06	6e+06	0.217
Win_281	85	5	1.6e+07	1.8e+07	0.214
Win_282	85	5	1.8e+07	2e+07	0.214
Win_283	85	5	2e+07	2.2e+07	0.214
Win_358	85	6	4.4e+07	4.6e+07	0.214
Win_981	85	19	4.8e+07	5e+07	0.214
Win_285	84	5	2.4e+07	2.6e+07	0.212
Win_352	84	6	3.2e+07	3.4e+07	0.212
Win_735	84	13	3.8e+07	4e+07	0.212
Win_982	84	19	5e+07	5.2e+07	0.212
Win_310	83	5	7.4e+07	7.6e+07	0.209
Win_386	83	6	1e+08	1.02e+08	0.209
Win_745	83	13	5.8e+07	6e+07	0.209
Win_983	83	19	5.2e+07	5.4e+07	0.209
Win_1043	82	21	3.4e+07	3.6e+07	0.207
Win_279	82	5	1.2e+07	1.4e+07	0.207
Win_309	82	5	7.2e+07	7.4e+07	0.207
Win_651	82	11	7e+07	7.2e+07	0.207
Win_738	81	13	4.4e+07	4.6e+07	0.204
Win_316	80	5	8.6e+07	8.8e+07	0.202
Win_739	80	13	4.6e+07	4.8e+07	0.202
Win_979	80	19	4.4e+07	4.6e+07	0.202
Win_260	79	4	9.6e+07	9.8e+07	0.199
Win_308	79	5	7e+07	7.2e+07	0.199
Win_373	79	6	7.4e+07	7.6e+07	0.199
Win_744	79	13	5.6e+07	5.8e+07	0.199
Win_980	79	19	4.6e+07	4.8e+07	0.199
Win_291	78	5	3.6e+07	3.8e+07	0.196
