name2_1	Frequency_1	ID_1	Chr_1	CNVR_Start_1	CNVR_End_1	Frequency_2	ID_2	Chr_2	CNVR_Start_2	CNVR_End_2	Frequency_3	ID_3	Chr_3	CNVR_Start_3	CNVR_End_3	Frequency_4	ID_4	Chr_4	CNVR_Start_4	CNVR_End_4	Common_check
A1BG	0	0	0	0	0	2	CNVR_716	18	65603314	65814370	0	0	0	0	0	0	0	0	0	0	Common_low
AANAT	0	0	0	0	0	1	CNVR_755	19	54968541	55578623	0	0	0	0	0	0	0	0	0	0	Common_low
ABAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_787	25	7515881	7578293	Common_low
ABCA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	CNVR_337	8	93245032	94722804	Common_low
ABCA7	0	0	0	0	0	3	CNVR_341	7	43369002	44022730	0	0	0	0	0	0	0	0	0	0	Common_low
ABCB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_80	2	106984473	107192324	Common_low
ABCB9	0	0	0	0	0	1	CNVR_670	17	52529561	52696346	0	0	0	0	0	0	0	0	0	0	Common_low
ABCF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_758	23	28341860	28413350	Common_low
ABCF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	CNVR_178	4	113657341	113819352	Common_low
ABCG2	1	CNVR_64	6	37962382	37976610	9	CNVR_275	6	36535012	36551432	1	CNVR_64	6	37962382	37976610	0	0	0	0	0	Common_low
ABHD14B	0	0	0	0	0	1	CNVR_834	22	48907762	49184065	0	0	0	0	0	0	0	0	0	0	Common_low
ABHD16A	1	CNVR_208	23	27286587	27903991	1	CNVR_849	23	27494111	27734916	1	CNVR_208	23	27286587	27903991	0	0	0	0	0	Common_low
ABHD16B	0	0	0	0	0	4	CNVR_543	13	53822879	54521999	0	0	0	0	0	3	CNVR_496	13	53933240	54043428	Common_low
ABHD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_388	10	22208708	22252878	Common_low
ABI1	0	0	0	0	0	3	CNVR_525	13	17800892	17909299	0	0	0	0	0	0	0	0	0	0	Common_low
ABL2	1	CNVR_163	16	61932640	62244131	12	CNVR_643	16	60554810	60784885	1	CNVR_163	16	61932640	62244131	0	0	0	0	0	Common_low
ABO	1	CNVR_124	11	103363410	106804258	1	CNVR_483	11	103562010	104313142	1	CNVR_124	11	103363410	106804258	4	CNVR_435	11	103615735	104217085	Common_low
ABRAXAS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_817	26	44398093	44515661	Common_low
ABT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	CNVR_762	23	31338261	31726418	Common_low
ABTB1	0	0	0	0	0	2	CNVR_839	22	59789766	59858286	0	0	0	0	0	0	0	0	0	0	Common_low
ACACA	0	0	0	0	0	2	CNVR_728	19	13518465	13564941	0	0	0	0	0	0	0	0	0	0	Common_low
ACADL	0	0	0	0	0	1	CNVR_101	2	98018683	98062823	0	0	0	0	0	0	0	0	0	0	Common_low
ACADVL	0	0	0	0	0	2	CNVR_739	19	26936476	27421507	0	0	0	0	0	0	0	0	0	0	Common_low
ACAP1	1	CNVR_180	19	27576066	28031919	5	CNVR_739	19	26936476	27421507	1	CNVR_180	19	27576066	28031919	0	0	0	0	0	Common_low
ACAP3	0	0	0	0	0	1	CNVR_639	16	50834467	51464253	0	0	0	0	0	0	0	0	0	0	Common_low
ACBD5	0	0	0	0	0	2	CNVR_525	13	17800892	17909299	0	0	0	0	0	0	0	0	0	0	Common_low
ACLY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_662	19	42064863	42089455	Common_low
ACO2	0	0	0	0	0	1	CNVR_250	5	112271082	112941150	0	0	0	0	0	0	0	0	0	0	Common_low
ACOX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	CNVR_673	19	55590126	56208592	Common_low
ACOX3	0	0	0	0	0	2	CNVR_297	6	114582670	114667980	0	0	0	0	0	0	0	0	0	0	Common_low
ACSL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	CNVR_82	2	111090957	111229939	Common_low
ACSL6	1	CNVR_78	7	23868219	24693994	1	CNVR_327	7	22536026	22554424	1	CNVR_78	7	23868219	24693994	0	0	0	0	0	Common_low
ACTB	0	0	0	0	0	1	CNVR_896	25	38728867	38925016	0	0	0	0	0	0	0	0	0	0	Common_low
ACTL6B	0	0	0	0	0	5	CNVR_895	25	35847022	36188699	0	0	0	0	0	0	0	0	0	0	Common_low
ACTN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	CNVR_870	29	44546564	44660364	Common_low
ACTR6	0	0	0	0	0	1	CNVR_234	5	64116108	64230589	0	0	0	0	0	0	0	0	0	0	Common_low
ACY1	0	0	0	0	0	1	CNVR_834	22	48907762	49184065	0	0	0	0	0	0	0	0	0	0	Common_low
ADAM22	1	CNVR_40	4	72358306	72561411	1	CNVR_188	4	71900384	72082867	1	CNVR_40	4	72358306	72561411	1	CNVR_160	4	72297257	72505313	Common_low
ADAM32	0	0	0	0	0	1	CNVR_928	27	34335782	34422117	0	0	0	0	0	0	0	0	0	0	Common_low
ADAMTS14	0	0	0	0	0	1	CNVR_947	28	26913043	26976598	0	0	0	0	0	0	0	0	0	0	Common_low
ADAMTSL2	1	CNVR_124	11	103363410	106804258	0	0	0	0	0	1	CNVR_124	11	103363410	106804258	0	0	0	0	0	Common_low
ADAP1	0	0	0	0	0	2	CNVR_901	25	41670837	41856420	0	0	0	0	0	1	CNVR_801	25	41129839	41935313	Common_low
ADAP2	0	0	0	0	0	1	CNVR_733	19	18012136	18118339	0	0	0	0	0	0	0	0	0	0	Common_low
ADCK5	0	0	0	0	0	8	CNVR_556	14	330256	1142313	0	0	0	0	0	0	0	0	0	0	Common_low
ADD1	0	0	0	0	0	3	CNVR_300	6	115881461	115959367	0	0	0	0	0	0	0	0	0	0	Common_low
ADD3	0	0	0	0	0	1	CNVR_911	26	30679250	30703028	0	0	0	0	0	0	0	0	0	0	Common_low
ADGRA1	0	0	0	0	0	8	CNVR_917	26	50637350	51091399	0	0	0	0	0	0	0	0	0	0	Common_low
ADGRB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	CNVR_508	14	1514056	2342883	Common_low
ADGRE5	0	0	0	0	0	1	CNVR_313	7	11234442	11485170	0	0	0	0	0	0	0	0	0	0	Common_low
ADGRG7	0	0	0	0	0	1	CNVR_33	1	45090218	45146168	0	0	0	0	0	0	0	0	0	0	Common_low
ADGRL2	0	0	0	0	0	2	CNVR_135	3	62278399	62720838	0	0	0	0	0	1	CNVR_110	3	62483581	62926812	Common_low
