Chr	bin	name	strand	Start	End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	CNVR_ID	i.Start	i.End	Frequent	0	1	3	4	Type	Length	Check_gene
1	592	NM_174244	+	922634	929993	922664	929925	7	922634,924036,925033,927297,928109,929447,929811,	922700,924087,925144,927427,928222,929534,929993,	0	ATP5PO	cmpl	cmpl	0,0,0,0,1,0,0,	CNVR_1	835371	1363932	10		5	5		Mixed	528562	Has-gene
1	592	NR_162412	-	945017	945080	945080	945080	1	945017,	945080,	0	MIR12045	unk	unk	-1,	CNVR_1	835371	1363932	10		5	5		Mixed	528562	Has-gene
1	592	NR_162306	-	1006029	1006090	1006090	1006090	1	1006029,	1006090,	0	MIR2285BS	unk	unk	-1,	CNVR_1	835371	1363932	10		5	5		Mixed	528562	Has-gene
1	594	NM_001035037	+	1189227	1222851	1197956	1222558	13	1189227,1197950,1199591,1200397,1202510,1204233,1212848,1214108,1216476,1218230,1219380,1221872,1222458,	1189283,1198022,1199669,1200470,1202555,1204302,1212982,1214220,1216575,1218352,1219486,1221918,1222851,	0	CRYZL1	cmpl	cmpl	-1,0,0,0,1,1,1,0,1,1,0,1,2,	CNVR_1	835371	1363932	10		5	5		Mixed	528562	Has-gene
1	594	NM_001083445	+	1223604	1233645	1223604	1233011	10	1223604,1224652,1225666,1226772,1228164,1228966,1229156,1230107,1231485,1232873,	1223901,1224733,1225870,1226951,1228343,1229048,1229261,1230306,1231698,1233645,	0	DONSON	cmpl	cmpl	0,0,0,0,2,1,2,2,0,0,	CNVR_1	835371	1363932	10		5	5		Mixed	528562	Has-gene
1	594	NM_001083694	-	1233904	1264762	1234655	1264713	13	1233904,1235333,1235550,1237405,1241585,1242712,1249922,1250304,1252353,1253812,1257912,1261470,1264636,	1234814,1235449,1235622,1237553,1241702,1242823,1250111,1250451,1252515,1256955,1259715,1261637,1264762,	0	SON	cmpl	cmpl	0,1,1,0,0,0,0,0,0,1,1,2,0,	CNVR_1	835371	1363932	10		5	5		Mixed	528562	Has-gene
1	594	NR_162354	-	1258472	1258536	1258536	1258536	1	1258472,	1258536,	0	MIR6501	unk	unk	-1,	CNVR_1	835371	1363932	10		5	5		Mixed	528562	Has-gene
1	594	NM_001040473	+	1265742	1292030	1268519	1291437	22	1265742,1268478,1269746,1270319,1273738,1274819,1275390,1276593,1277169,1277419,1280561,1282671,1283060,1283512,1284753,1285297,1287453,1288745,1289876,1290248,1291047,1291245,	1265793,1268664,1269842,1270494,1273850,1274888,1275516,1276681,1277255,1277588,1280793,1282766,1283170,1283711,1285005,1285450,1287660,1288883,1290007,1290390,1291163,1292030,	0	GART	cmpl	cmpl	-1,0,1,1,2,0,0,0,1,0,1,2,1,0,1,1,1,1,1,0,1,0,	CNVR_1	835371	1363932	10		5	5		Mixed	528562	Has-gene
1	595	NM_001034786	+	1324543	1361381	1343015	1359948	7	1324543,1342974,1345086,1346483,1353535,1356403,1359902,	1324644,1343114,1345199,1346551,1353628,1356461,1361381,	0	TMEM50B	cmpl	cmpl	-1,0,0,2,1,1,2,	CNVR_1	835371	1363932	10		5	5		Mixed	528562	Has-gene
1																CNVR_2	4784221	4923499	2		2			Loss	139279	Without-gene
1																CNVR_3	6154638	6236417	2		2			Loss	81780	Without-gene
1	79	NM_001192509	+	6546057	6603891	6546057	6603442	30	6546057,6552434,6553236,6554364,6556897,6557716,6562689,6563808,6565042,6566014,6567509,6570127,6570984,6571839,6572790,6573394,6575188,6576300,6579983,6584339,6584665,6585712,6586422,6587214,6593249,6597737,6599001,6600748,6602309,6603379,	6546099,6552638,6553335,6554595,6556950,6557897,6562863,6563999,6565178,6566824,6567551,6570317,6571224,6571993,6572935,6573581,6575348,6576405,6580126,6584475,6584810,6585926,6586660,6587289,6593436,6597909,6599222,6600943,6602477,6603891,	0	LTN1	cmpl	cmpl	0,0,0,0,0,2,0,0,2,0,0,0,1,1,2,0,1,2,2,1,2,0,1,2,2,0,1,0,0,0,	CNVR_4	6521869	6643841	3			3		Gain	121973	Has-gene
1	635	NM_001083513	-	6630180	6643906	6630971	6643899	6	6630180,6632158,6635987,6639703,6640519,6643765,	6631078,6632300,6636071,6639794,6640606,6643906,	0	N6AMT1	cmpl	cmpl	1,0,0,2,2,0,	CNVR_4	6521869	6643841	3			3		Gain	121973	Has-gene
1																CNVR_5	9038916	9080890	1			1		Gain	41975	Without-gene
1																CNVR_6	11843822	15237871	26		14	11	1	Mixed	3394050	Without-gene
1																CNVR_7	15491288	15605365	2		2			Loss	114078	Without-gene
1																CNVR_8	15868881	17685698	65	2	35	25	3	Mixed	1816818	Without-gene
1																CNVR_9	20036999	20062196	1		1			Loss	25198	Without-gene
1	756	NM_001105006	+	22474170	22497930	22474418	22497635	2	22474170,22497177,	22474449,22497930,	0	LIPI	cmpl	cmpl	0,1,	CNVR_10	22478219	24539637	8		4	4		Mixed	2061419	Has-gene
1																CNVR_11	24980365	24994877	1		1			Loss	14513	Without-gene
1	97	NM_001192888	-	25619014	26210307	25620688	26210307	30	25619014,25621933,25628222,25638050,25641412,25651806,25654974,25657929,25660184,25663072,25670367,25671825,25675956,25680237,25683760,25684835,25685924,25692020,25692270,25692607,25694185,25707308,25709829,25713944,25738162,25740734,25741373,25767797,25997757,26210223,	25620703,25622127,25628531,25638203,25641819,25652055,25655119,25658037,25660520,25663227,25670410,25671852,25676154,25680409,25683882,25685067,25686046,25692187,25692439,25692689,25694391,25707480,25709954,25713953,25738290,25740873,25741494,25767955,25998084,26210307,	0	ROBO1	cmpl	incmpl	0,1,1,1,2,2,1,1,1,2,1,1,1,0,1,0,1,2,1,0,1,0,1,1,2,1,0,1,1,1,	CNVR_12	26131118	26638048	2		1	1		Mixed	506931	Has-gene
1																CNVR_13	27419247	27824918	1		1			Loss	405672	Without-gene
1																CNVR_14	29267627	29315230	1		1			Loss	47604	Without-gene
1																CNVR_15	30156822	32078797	30		15	13	2	Mixed	1921976	Without-gene
1																CNVR_16	32598751	33176151	4		2	2		Mixed	577401	Without-gene
1																CNVR_17	37713094	37781476	14	1	13			Loss	68383	Without-gene
1																CNVR_18	38352766	41089334	40		19	20	1	Mixed	2736569	Without-gene
1																CNVR_19	44526250	44542735	1			1		Gain	16486	Without-gene
1	931	NM_001083702	+	45415065	45478331	45415291	45477878	16	45415065,45435197,45436657,45440416,45443511,45444959,45449575,45449829,45453307,45454021,45457298,45462529,45463858,45468010,45470231,45477629,	45415406,45435311,45436762,45440529,45443661,45445063,45449715,45449937,45453471,45454177,45457411,45462876,45463955,45468166,45470388,45478331,	0	ADGRG7	cmpl	cmpl	0,1,1,1,0,0,2,1,1,0,0,2,1,2,2,0,	CNVR_20	45423220	45479172	1			1		Gain	55953	Has-gene
1																CNVR_21	47251774	47330215	1		1			Loss	78442	Without-gene
1																CNVR_22	47625141	49090670	6		1	5		Mixed	1465530	Without-gene
1																CNVR_23	49230292	49480638	6		6			Loss	250347	Without-gene
1	121	NM_174238	+	50332271	50558841	50332271	50558841	15	50332271,50491415,50495895,50503100,50504828,50505378,50510520,50512349,50531432,50534171,50534412,50537554,50539542,50539870,50558753,	50332344,50491516,50496115,50503165,50504916,50505561,50510648,50512482,50531545,50534307,50534546,50537687,50539581,50539988,50558841,	0	ALCAM	cmpl	cmpl	0,1,0,1,0,1,1,0,1,0,1,0,1,1,2,	CNVR_24	50353451	50465233	2		1	1		Mixed	111783	Has-gene
1																CNVR_25	51169451	51211635	1		1			Loss	42185	Without-gene
1																CNVR_26	55216797	55511354	3		1	2		Mixed	294558	Without-gene
1	1125	NM_001025321	-	70788694	70792140	70788746	70791442	5	70788694,70789977,70791057,70791431,70792112,	70788770,70790122,70791210,70791476,70792140,	0	RPL35A	cmpl	cmpl	0,2,2,0,-1,	CNVR_27	70757424	70955192	1		1			Loss	197769	Has-gene
1	1125	NM_001038195	+	70792453	70838107	70797034	70837730	11	70792453,70796975,70798880,70803728,70806135,70814458,70822105,70824674,70832943,70834030,70837598,	70792520,70797042,70799148,70803952,70806264,70814540,70822267,70824749,70833075,70834132,70838107,	0	IQCG	cmpl	cmpl	-1,0,2,0,2,2,0,0,0,0,0,	CNVR_27	70757424	70955192	1		1			Loss	197769	Has-gene
1	1126	NM_001001137	-	70954510	70984201	70954733	70984188	10	70954510,70956692,70960859,70962304,70962763,70962808,70965885,70971919,70979617,70984082,	70954832,70956819,70960934,70962359,70962808,70962862,70965998,70972068,70979746,70984201,	0	FYTTD1	cmpl	cmpl	0,2,2,1,0,2,0,1,1,0,	CNVR_27	70757424	70955192	1		1			Loss	197769	Has-gene
1	1131	NM_001076289	-	71629569	71653254	71631334	71652598	7	71629569,71635532,71637600,71640251,71647368,71652297,71652965,	71632294,71635614,71637722,71640427,71647449,71652634,71653254,	0	RNF168	cmpl	cmpl	0,2,0,1,1,0,-1,	CNVR_28	71602911	71651658	1			1		Gain	48748	Has-gene
