Chr	name	bin	strand	Start	End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	en_id	cdsStartStat	cdsEndStat	exonFrames	name2	ID	i.Start	i.End	Frequency	n_Sample	0	1	3	4	Type	Length	Check_gene
1	ENSBTAT00000024326.3	597	+	1643627	1651039	1643709	1650970	7	1643627,1645081,1646078,1648342,1649154,1650492,1650856,	1643745,1645132,1646189,1648472,1649267,1650579,1651039,	0	ENSBTAG00000018278.6	cmpl	cmpl	0,0,0,0,1,0,0,	ATP5PO	CNVR_1	1556392	1761967	7	7		6	1		Mixed	205576	Has_gene
1	ENSBTAT00000029333.6	74	-	1665338	1908788	1665338	1834522	39	1665338,1669189,1671360,1671766,1672852,1674980,1679091,1685301,1687345,1694109,1696042,1719856,1721978,1725491,1728015,1731883,1736185,1737500,1741369,1743571,1754115,1755249,1759662,1780807,1781070,1788681,1788907,1791809,1796284,1797960,1800948,1804164,1807592,1809395,1819710,1831229,1832274,1834494,1908504,	1665487,1669363,1671444,1671849,1672974,1675193,1679259,1685400,1687529,1694216,1696164,1720048,1722096,1725613,1728061,1732050,1736268,1737706,1741529,1743819,1754237,1755479,1759790,1780947,1781158,1788822,1789057,1792072,1796400,1798098,1801012,1804265,1807689,1809575,1819871,1831293,1832367,1834554,1908788,	0	ENSBTAG00000021997.6	cmpl	cmpl	1,1,1,2,0,0,0,0,2,0,1,1,0,1,0,1,2,0,2,0,1,2,0,1,0,0,0,1,2,2,1,2,1,1,2,1,1,0,-1,	ITSN1	CNVR_1	1556392	1761967	7	7		6	1		Mixed	205576	Has_gene
1	ENSBTAT00000078115.1	597	-	1666062	1666125	1666125	1666125	1	1666062,	1666125,	0	ENSBTAG00000054338.1	none	none	-1,	bta-mir-12045	CNVR_1	1556392	1761967	7	7		6	1		Mixed	205576	Has_gene
1	ENSBTAT00000086217.1	598	-	1727074	1727135	1727135	1727135	1	1727074,	1727135,	0	ENSBTAG00000053248.1	none	none	-1,	bta-mir-2285bs	CNVR_1	1556392	1761967	7	7		6	1		Mixed	205576	Has_gene
1	ENSBTAT00000011175.6	74	-	1954229	1985068	1955011	1979829	12	1954229,1955689,1955906,1957761,1961941,1963068,1970278,1970660,1972709,1974167,1981826,1984991,	1955170,1955805,1955978,1957909,1962058,1963179,1970467,1970807,1972870,1980071,1981993,1985068,	0	ENSBTAG00000008482.6	cmpl	cmpl	0,1,1,0,0,0,0,0,1,0,-1,-1,	SON	CNVR_2	1984725	2024917	5	5			5		Gain	40193	Has_gene
1	ENSBTAT00000012108.4	600	+	1985521	2012383	1988873	2011792	22	1985521,1988832,1990100,1990673,1994092,1995173,1995744,1996947,1997524,1997774,2000915,2003026,2003415,2003867,2005108,2005652,2007808,2009100,2010231,2010603,2011402,2011600,	1986148,1989018,1990196,1990848,1994204,1995242,1995870,1997035,1997610,1997943,2001147,2003121,2003525,2004066,2005360,2005805,2008015,2009238,2010362,2010745,2011518,2012383,	0	ENSBTAG00000009188.5	cmpl	cmpl	-1,0,1,1,2,0,0,0,1,0,1,2,1,0,1,1,1,1,1,0,1,0,	GART	CNVR_2	1984725	2024917	5	5			5		Gain	40193	Has_gene
1																	CNVR_3	5321320	5372683	1	1		1			Loss	51364	Non_gene
1	ENSBTAT00000072299.1	627	+	5522178	5581920	5522178	5581920	4	5522178,5522321,5581641,5581750,	5522192,5522466,5581711,5581920,	0	ENSBTAG00000050522.1	incmpl	cmpl	0,2,0,1,	72299.1	CNVR_4	5519231	5569070	1	1		1			Loss	49840	Has_gene
1	ENSBTAT00000052636.3	627	-	5560875	5561253	5560875	5561253	1	5560875,	5561253,	0	ENSBTAG00000037933.3	cmpl	incmpl	0,	52636.3	CNVR_4	5519231	5569070	1	1		1			Loss	49840	Has_gene
1	ENSBTAT00000005416.3	79	-	6815184	6858058	6816140	6831796	5	6815184,6824823,6826627,6831562,6857940,	6816587,6825030,6827965,6831856,6858058,	0	ENSBTAG00000004139.3	cmpl	cmpl	0,0,0,0,-1,	BACH1	CNVR_5	6813154	6910759	4	4		4			Loss	97606	Has_gene
