name2	Frequency	ID	Chr	CNVR_Start	CNVR_End
LOC100848815	67	CNVR_847	23	25560755	25730370
BLA-DQB	59	CNVR_847	23	25560755	25730370
ZNF804B	36	CNVR_189	4	72803395	74003192
LOC782061	34	CNVR_539	13	43322783	43433183
PLEKHA8	34	CNVR_185	4	66099208	66429603
GBP4	31	CNVR_130	3	54211974	54781990
MTURN	31	CNVR_185	4	66099208	66429603
BOLA-DRB3	30	CNVR_847	23	25560755	25730370
FKBP14	30	CNVR_185	4	66099208	66429603
TECRL	25	CNVR_288	6	77586306	82543678
CERS6	24	CNVR_75	2	27318294	27979992
FGF14	21	CNVR_518	12	78163435	78251127
LOC616942	19	CNVR_850	23	27883512	28085043
MIR2353	19	CNVR_75	2	27318294	27979992
SOAT1	18	CNVR_643	16	60554810	60784885
LOC538060	17	CNVR_61	1	157665979	157775990
STK39	17	CNVR_75	2	27318294	27979992
CTNNA3	15	CNVR_941	28	20997159	22372439
NOSTRIN	15	CNVR_75	2	27318294	27979992
SCRN1	15	CNVR_185	4	66099208	66429603
GABRG1	13	CNVR_286	6	63920386	65302613
GRIA4	13	CNVR_588	15	2206128	3217541
ABL2	12	CNVR_643	16	60554810	60784885
CYLC2	11	CNVR_376	8	91608918	93181299
NUDT14	11	CNVR_821	21	69122111	69808854
GLT8D1	10	CNVR_833	22	47893939	48290928
SLC16A1	10	CNVR_120	3	30350337	30396757
SPCS1	10	CNVR_833	22	47893939	48290928
TAFA5	10	CNVR_258	5	118326410	118372340
WC-7	10	CNVR_242	5	101977430	102029541
ABCG2	9	CNVR_275	6	36535012	36551432
CDH9	9	CNVR_781	20	43046657	49574742
CHRNA4	9	CNVR_543	13	53822879	54521999
GALNT13	9	CNVR_86	2	41646651	42342093
PBRM1	9	CNVR_833	22	47893939	48290928
PDCD1	9	CNVR_152	3	120634274	120886943
SLC6A18	9	CNVR_793	20	71119829	71348678
ADCK5	8	CNVR_556	14	330256	1142313
ADGRA1	8	CNVR_917	26	50637350	51091399
APOH	8	CNVR_761	19	62611634	62643241
ASPSCR1	8	CNVR_750	19	50761431	51158110
CENPX	8	CNVR_750	19	50761431	51158110
CPSF1	8	CNVR_556	14	330256	1142313
DGAT1	8	CNVR_556	14	330256	1142313
DGKB	8	CNVR_166	4	22417069	22677610
MIR2346	8	CNVR_750	19	50761431	51158110
SCRT1	8	CNVR_556	14	330256	1142313
SLC39A4	8	CNVR_556	14	330256	1142313
SLC52A2	8	CNVR_556	14	330256	1142313
TONSL	8	CNVR_556	14	330256	1142313
VPS28	8	CNVR_556	14	330256	1142313
ADGRL3	7	CNVR_288	6	77586306	82543678
ADSSL1	7	CNVR_821	21	69122111	69808854
AKT1	7	CNVR_821	21	69122111	69808854
C8G	7	CNVR_486	11	105779716	106470561
CALCRL	7	CNVR_67	2	8788884	9443359
CLDN7	7	CNVR_739	19	26936476	27421507
FAM221A	7	CNVR_188	4	71900384	72082867
FBXW5	7	CNVR_486	11	105779716	106470561
GIMAP7	7	CNVR_206	4	112837075	112994064
LFNG	7	CNVR_898	25	40644879	41380662
MIR12029	7	CNVR_898	25	40644879	41380662
MZF1	7	CNVR_716	18	65603314	65814370
PAQR4	7	CNVR_884	25	2262072	2450378
PTGDS	7	CNVR_486	11	105779716	106470561
SIVA1	7	CNVR_821	21	69122111	69808854
SLC2A4	7	CNVR_739	19	26936476	27421507
SLC4A10	7	CNVR_80	2	34552816	34703310
TBC1D12	7	CNVR_907	26	15995830	16012895
UBE2M	7	CNVR_716	18	65603314	65814370
YBX2	7	CNVR_739	19	26936476	27421507
AGFG2	6	CNVR_895	25	35847022	36188699
B3GNT5	6	CNVR_45	1	83707085	83810343
BOLA-DQA2	6	CNVR_847	23	25560755	25730370
BOLA-DQA5	6	CNVR_847	23	25560755	25730370
BOLA-DQB	6	CNVR_847	23	25560755	25730370
CCSER1	6	CNVR_273	6	33709997	33774948
CDH18	6	CNVR_785	20	52471085	53881002
CHMP2A	6	CNVR_716	18	65603314	65814370
CHRNB1	6	CNVR_739	19	26936476	27421507
CLIC3	6	CNVR_486	11	105779716	106470561
CLIP1	6	CNVR_671	17	52872065	53069851
CYHR1	6	CNVR_556	14	330256	1142313
EDF1	6	CNVR_486	11	105779716	106470561
ENTPD8	6	CNVR_486	11	105779716	106470561
FOXH1	6	CNVR_556	14	330256	1142313
FSTL5	6	CNVR_665	17	36611406	37589530
GRIK2	6	CNVR_396	9	45904339	47944789
HIST1H1D	6	CNVR_856	23	31580954	31945721
