name2	gene_list_1	gene_list_2	gene_list_3	Common_check
A1BG	2	1	0	Common_low
AAMP	0	1	0	Common_low
AANAT	1	1	0	Common_low
ABCA7	3	1	0	Common_low
ABCB9	1	2	0	Common_low
ABCG2	9	9	1	Common_low
ABHD13	0	1	0	Common_low
ABHD14B	1	1	0	Common_low
ABHD16A	1	0	1	Common_low
ABHD16B	4	4	0	Common_low
ABI1	3	2	0	Common_low
ABL2	12	0	1	Common_low
ABO	1	0	3	Common_low
ABTB1	2	2	0	Common_low
ACACA	2	2	0	Common_low
ACADL	1	1	0	Common_low
ACADVL	2	2	0	Common_low
ACAP1	5	5	1	Common_low
ACAP3	1	1	0	Common_low
ACBD5	2	2	0	Common_low
ACO2	1	1	0	Common_low
ACOX3	2	0	0	Common_low
ACSL6	1	1	1	Common_low
ACTB	1	1	0	Common_low
ACTL6B	5	5	0	Common_low
ACTR6	1	0	0	Common_low
ACY1	1	1	0	Common_low
ADAM22	1	0	1	Common_low
ADAM32	1	0	0	Common_low
ADAMTS14	1	1	0	Common_low
ADAMTSL2	0	0	1	Common_low
ADAP1	2	2	0	Common_low
ADAP2	1	1	0	Common_low
ADARB2	0	2	0	Common_low
ADCK5	8	7	0	Common_low
ADD1	3	2	0	Common_low
ADD3	1	1	0	Common_low
ADGRA1	8	8	0	Common_low
ADGRE5	1	1	0	Common_low
ADGRG7	1	1	0	Common_low
ADGRL1	0	1	0	Common_low
ADGRL2	2	1	0	Common_low
ADGRL3	7	8	0	Common_low
ADGRL4	3	3	0	Common_low
ADK	1	0	0	Common_low
ADSS	1	1	0	Common_low
ADSS1	0	3	0	Common_low
ADSSL1	7	0	0	Common_low
AEBP2	0	0	1	Common_low
AFMID	2	3	0	Common_low
AGFG2	6	6	0	Common_low
AGMO	1	1	0	Common_low
AGO1	2	0	0	Common_low
AGO3	1	1	0	Common_low
AGPAT2	3	5	1	Common_low
AGPS	1	1	0	Common_low
AHCTF1	1	1	0	Common_low
AIF1	1	0	1	Common_low
AIP	2	1	0	Common_low
AJUBA	2	1	0	Common_low
AK5	0	0	1	Common_low
AK6	0	0	1	Common_low
AK8	0	2	0	Common_low
AKR1A1	3	2	0	Common_low
AKR7A2	0	2	0	Common_low
AKT1	7	3	0	Common_low
AKT3	3	3	0	Common_low
ALCAM	2	2	0	Common_low
ALDH5A1	0	1	0	Common_low
ALDH7A1	2	3	1	Common_low
ALKBH5	1	0	0	Common_low
ALYREF	2	4	0	Common_low
AMT	1	1	0	Common_low
AMY2B	1	1	1	Common_low
ANAPC11	2	4	0	Common_low
ANKIB1	2	1	0	Common_low
ANKRD13D	3	1	0	Common_low
ANKRD50	0	0	1	Common_low
ANKRD55	0	0	1	Common_low
ANKRD65	1	0	0	Common_low
ANTKMT	0	2	0	Common_low
AP1M2	1	1	0	Common_low
AP3B1	1	1	0	Common_low
AP5Z1	0	1	0	Common_low
APELA	1	1	0	Common_low
APOH	8	0	0	Common_low
APOM	1	0	1	Common_low
ARF4	0	0	1	Common_low
ARFGAP1	5	4	0	Common_low
ARFRP1	5	5	0	Common_low
ARHGAP15	1	1	0	Common_low
ARHGAP39	2	1	0	Common_low
ARHGAP45	3	1	0	Common_low
ARHGDIA	2	4	0	Common_low
ARHGEF16	1	1	0	Common_low
ARHGEF19	1	0	0	Common_low
ARHGEF26	1	1	0	Common_low
ARID3A	1	1	0	Common_low
ARID4B	2	3	1	Common_low
ARL4D	0	1	0	Common_low
ARMC4	0	1	0	Common_low
ARMC7	3	4	0	Common_low
ARPC2	0	1	0	Common_low
ARRDC1	0	0	1	Common_low
ARRDC3	3	3	1	Common_low
ARSG	1	2	0	Common_low
ARVCF	4	3	0	Common_low
ASCC3	2	1	0	Common_low
ASF1B	0	1	0	Common_low
ASPSCR1	8	16	2	Common_low
ATAD3A	1	0	0	Common_low
ATAD5	1	1	0	Common_low
ATF7IP	5	5	0	Common_low
ATG4B	3	3	0	Common_low
ATG4D	1	1	0	Common_low
ATMIN	1	1	0	Common_low
ATP1B2	5	1	1	Common_low
ATP5F1D	4	2	0	Common_low
ATP5PD	3	3	0	Common_low
ATP5PO	1	1	0	Common_low
ATP6V1G2	0	0	1	Common_low
ATPAF2	1	0	0	Common_low
ATRAID	0	0	1	Common_low
AURKAIP1	1	0	0	Common_low
B2M	2	4	4	Common_low
B3GALT4	1	1	0	Common_low
B3GNT3	1	3	0	Common_low
B3GNT5	6	6	0	Common_low
BACE2	0	0	4	Common_low
BAG6	1	0	1	Common_low
BAIAP2	3	1	0	Common_low
BANP	1	1	0	Common_low
BCHE	3	3	0	Common_low
BCL2L12	2	2	0	Common_low
BCL7B	1	1	0	Common_low
BCNT2	0	0	1	Common_low
BET1	0	2	0	Common_low
BICDL2	1	1	0	Common_low
BIRC3	3	1	0	Common_low
BIRC5	1	1	0	Common_low
BIRC6	1	0	0	Common_low
BLA-DQB	59	0	1	High_and_Low
BMP7	1	1	0	Common_low
BOK	1	1	0	Common_low
BOLA	4	1	0	Common_low
BOLA-A	0	0	1	Common_low
BOLA-DOA	1	1	0	Common_low
BOLA-DQA2	6	0	1	Common_low
BOLA-DQA5	6	0	1	Common_low
BOLA-DQB	6	0	1	Common_low
BOLA-DRA	0	0	1	Common_low
BOLA-DRB3	30	0	1	High_and_Low
BOLA-NC1	0	1	0	Common_low
BOLA1	1	1	0	Common_low
BPHL	4	2	0	Common_low
BRAT1	4	5	0	Common_low
BRD2	1	1	0	Common_low
BRD3	0	0	1	Common_low
BRINP3	4	5	0	Common_low
BTBD6	4	0	0	Common_low
BTN1A1	3	6	2	Common_low
BTNL2	0	0	1	Common_low
BTRC	1	1	0	Common_low
BoLA	0	0	1	Common_low
C10H14orf93	2	1	0	Common_low
C11H9orf116	1	1	1	Common_low
C14H8orf34	1	1	0	Common_low
C14H8orf82	2	1	0	Common_low
C16H1orf100	1	1	0	Common_low
C16H1orf159	2	2	0	Common_low
C17H22orf39	2	2	0	Common_low
C18H16orf87	4	0	0	Common_low
C19H17orf78	1	1	0	Common_low
C21H14orf180	1	0	0	Common_low
C23H6orf47	1	0	1	Common_low
C25H16orf54	1	2	0	Common_low
C25H16orf91	5	4	1	Common_low
C25H7orf50	2	2	0	Common_low
C25H7orf61	3	3	0	Common_low
C7H19orf24	4	0	0	Common_low
C7H19orf25	3	1	0	Common_low
C7H19orf71	1	0	0	Common_low
C8G	7	6	3	Common_low
C8H9orf3	1	1	0	Common_low
CA11	1	1	0	Common_low
CA5A	1	1	0	Common_low
CABP2	1	1	0	Common_low
CABP4	2	1	0	Common_low
CACFD1	0	0	1	Common_low
CACNA1B	0	0	1	Common_low
CACNA2D1	3	3	0	Common_low
CALCR	1	0	0	Common_low
CALCRL	7	6	0	Common_low
CAMLG	1	0	0	Common_low
CAMSAP1	0	0	1	Common_low
CAPZA3	0	0	2	Common_low
CAPZB	0	1	0	Common_low
CARD6	1	0	0	Common_low
CARD9	4	5	1	Common_low
CARS	1	0	0	Common_low
CARS1	0	1	0	Common_low
CARS2	2	1	0	Common_low
CASKIN2	1	0	0	Common_low
CASP4	0	0	1	Common_low
CBX1	1	0	0	Common_low
CCAR1	1	4	0	Common_low
CCDC106	1	1	0	Common_low
CCDC116	1	0	0	Common_low
CCDC117	4	0	0	Common_low
CCDC127	1	1	0	Common_low
CCDC134	1	1	0	Common_low
CCDC137	1	1	0	Common_low
CCDC151	2	1	0	Common_low
CCDC166	1	1	0	Common_low
CCDC183	2	2	1	Common_low
CCDC43	1	0	0	Common_low
CCHCR1	4	1	2	Common_low
CCND2	4	3	0	Common_low
CCNK	1	1	0	Common_low
CCNL2	1	0	0	Common_low
CCR5	0	1	0	Common_low
CCRL2	0	1	0	Common_low
CCS	1	1	0	Common_low
CCSER1	6	6	1	Common_low
CD151	5	0	0	Common_low
CD163L1	1	0	0	Common_low
CD2BP2	1	2	0	Common_low
CD3EAP	1	0	0	Common_low
CD68	3	1	1	Common_low
CDADC1	1	1	0	Common_low
CDC27	1	0	0	Common_low
CDC42BPA	1	1	0	Common_low
CDC42SE2	0	0	1	Common_low
CDC45	2	2	2	Common_low
CDH10	1	2	0	Common_low
CDH12	5	7	0	Common_low
CDH18	6	6	1	Common_low
CDH2	0	0	1	Common_low
CDH7	1	0	0	Common_low
CDH9	9	8	0	Common_low
CDHR5	0	1	0	Common_low
CDK10	3	1	0	Common_low
CDK11B	1	0	0	Common_low
CDK2AP2	1	1	0	Common_low
CDK5RAP3	0	1	0	Common_low
CDK7	1	0	1	Common_low
CDKN2D	1	1	0	Common_low
CDR2L	2	2	0	Common_low
CDSN	3	1	2	Common_low
CEND1	1	0	0	Common_low
CENPH	1	0	1	Common_low
CENPM	1	1	0	Common_low
CENPN	1	1	0	Common_low
CENPX	8	8	1	Common_low
CEP131	1	2	0	Common_low
CERCAM	0	1	0	Common_low
CERS6	24	24	21	Common_high
CERT1	0	1	0	Common_low
CFAP20	0	1	0	Common_low
CFAP299	5	6	1	Common_low
CFD	1	0	0	Common_low
CFH	0	17	4	Common_low
CFL1	2	2	0	Common_low
CHID1	1	0	0	Common_low
CHMP1A	3	1	0	Common_low
CHMP2A	6	4	0	Common_low
CHMP3	1	1	0	Common_low
CHMP7	0	0	1	Common_low
CHP1	1	0	0	Common_low
CHRM3	1	1	1	Common_low
CHRNA4	9	4	0	Common_low
CHRNB1	6	5	1	Common_low
CHST12	3	3	0	Common_low
CIAO1	1	0	0	Common_low
CIAO3	1	1	0	Common_low
CIBAR2	0	1	0	Common_low
CIRBP	4	2	0	Common_low
CIST1	1	0	0	Common_low
CLBA1	5	2	0	Common_low
CLCN7	5	5	1	Common_low
CLDN10	3	3	6	Common_low
CLDN16	0	1	0	Common_low
CLDN5	2	2	2	Common_low
CLDN6	1	1	0	Common_low
CLDN7	7	7	2	Common_low
CLEC5A	0	0	1	Common_low
CLIC1	1	0	1	Common_low
CLIC3	6	6	3	Common_low
CLIP1	6	6	0	Common_low
CLPTM1L	2	2	0	Common_low
CLSPN	2	1	0	Common_low
CLVS2	1	1	0	Common_low
CMC2	1	1	0	Common_low
CNGB1	1	3	0	Common_low
CNIH4	1	1	0	Common_low
CNN1	0	1	0	Common_low
CNN2	3	1	0	Common_low
CNPY3	4	4	0	Common_low
CNTN5	4	12	0	Common_low
CNTN6	2	2	0	Common_low
COIL	1	0	0	Common_low
COL11A1	0	0	1	Common_low
COL11A2	1	1	0	Common_low
COL4A3BP	1	0	0	Common_low
COLGALT1	1	0	0	Common_low
COMMD5	2	1	0	Common_low
COMT	4	3	1	Common_low
COP1	1	0	0	Common_low
COPZ2	6	2	0	Common_low
COQ3	1	0	0	Common_low
CORO1B	4	3	0	Common_low
COX10	1	1	0	Common_low
COX19	2	2	0	Common_low
COX6B2	1	1	0	Common_low
COX7B2	0	0	1	Common_low
CPB2	1	1	0	Common_low
CPEB3	1	1	0	Common_low
CPLX1	1	1	0	Common_low
CPNE7	4	2	0	Common_low
CPSF1	8	7	0	Common_low
CPT1A	4	0	0	Common_low
CPTP	1	1	0	Common_low
CRAMP1	5	8	1	Common_low
CRAT	1	2	0	Common_low
CRB1	1	0	0	Common_low
CREB3L3	3	1	0	Common_low
CRIP1	2	0	0	Common_low
CRIP2	2	1	0	Common_low
CRLF3	1	1	0	Common_low
CRYZ	0	0	1	Common_low
