CNVR_ID	Chr	Start	End	Frequent	0	1	3	4	Type	Length	version	Check_overlap	Overlap_length
CNVR_1	1	14652420	14717338	1	1				Loss	64919	Version_UMD	Overlap	64919
CNVR_10	1	72115021	72350394	1	1				Loss	235374	Version_UMD	Non-Overlap	
CNVR_100	9	12860193	12946867	5	5				Loss	86675	Version_UMD	Non-Overlap	
CNVR_101	9	15916463	18416803	1			1		Gain	2500341	Version_UMD	Overlap	271906
CNVR_101	9	15916463	18416803	1			1		Gain	2500341	Version_UMD	Overlap	43623
CNVR_102	9	30939888	30966432	2	2				Loss	26545	Version_UMD	Overlap	26545
CNVR_103	9	35343932	36391522	2			2		Gain	1047591	Version_UMD	Overlap	773603
CNVR_104	9	36407736	36503439	1	1				Loss	95704	Version_UMD	Non-Overlap	
CNVR_105	9	46200108	46282758	1	1				Loss	82651	Version_UMD	Non-Overlap	
CNVR_106	9	47208243	48175366	1		1			Loss	967124	Version_UMD	Overlap	967124
CNVR_107	9	79155179	80528413	1			1		Gain	1373235	Version_UMD	Non-Overlap	
CNVR_108	9	85809578	85927793	1	1				Loss	118216	Version_UMD	Overlap	1
CNVR_109	9	90547503	90600872	1	1				Loss	53370	Version_UMD	Non-Overlap	
CNVR_11	1	88638760	88904687	2			2		Gain	265928	Version_UMD	Overlap	214726
CNVR_110	9	95941344	95976235	4	4				Loss	34892	Version_UMD	Non-Overlap	
CNVR_111	10	2315405	2335938	1	1				Loss	20534	Version_UMD	Overlap	9932
CNVR_112	10	14129663	14200836	1			1		Gain	71174	Version_UMD	Overlap	71174
CNVR_113	10	22379850	25265627	53	43	1	9		Mixed	2885778	Version_UMD	Overlap	267113
CNVR_114	10	27053298	27098905	1	1				Loss	45608	Version_UMD	Non-Overlap	
CNVR_115	10	34862923	35014790	3	3				Loss	151868	Version_UMD	Non-Overlap	
CNVR_116	10	55708101	55805448	3	3				Loss	97348	Version_UMD	Overlap	65063
CNVR_117	10	77091346	77143173	1	1				Loss	51828	Version_UMD	Non-Overlap	
CNVR_118	10	87560350	87800552	2			2		Gain	240203	Version_UMD	Non-Overlap	
CNVR_119	10	104016609	104152410	2			1	1	Gain	135802	Version_UMD	Overlap	91856
CNVR_12	1	90813044	95047587	2	1		1		Mixed	4234544	Version_UMD	Overlap	2001838
CNVR_120	11	4177123	4225930	1	1				Loss	48808	Version_UMD	Overlap	48808
CNVR_121	11	16727817	18471801	1			1		Gain	1743985	Version_UMD	Overlap	78313
CNVR_122	11	39888471	39936968	2			2		Gain	48498	Version_UMD	Non-Overlap	
CNVR_123	11	52004919	52140975	1	1				Loss	136057	Version_UMD	Overlap	136057
CNVR_124	11	103363410	106804258	4		1	1	2	Mixed	3440849	Version_UMD	Overlap	601351
CNVR_124	11	103363410	106804258	4		1	1	2	Mixed	3440849	Version_UMD	Overlap	36724
CNVR_124	11	103363410	106804258	4		1	1	2	Mixed	3440849	Version_UMD	Overlap	115335
CNVR_125	12	32089643	32182960	7	2		5		Mixed	93318	Version_UMD	Non-Overlap	
CNVR_126	12	34446868	34505806	1	1				Loss	58939	Version_UMD	Non-Overlap	
CNVR_127	12	42098999	43799317	2		1	1		Mixed	1700319	Version_UMD	Overlap	1700319
CNVR_128	12	57900635	58725768	27	1	24	2		Mixed	825134	Version_UMD	Overlap	825134
CNVR_129	12	59108123	59239590	5			5		Gain	131468	Version_UMD	Overlap	131468
CNVR_13	1	142904469	142999555	4	4				Loss	95087	Version_UMD	Non-Overlap	
CNVR_130	12	61667023	61759245	1	1				Loss	92223	Version_UMD	Overlap	92223
CNVR_131	12	70488515	70618867	6	6				Loss	130353	Version_UMD	Non-Overlap	
CNVR_132	12	70816749	72117025	14	14				Loss	1300277	Version_UMD	Non-Overlap	
CNVR_133	12	72419043	76870470	89	53	1	35		Mixed	4451428	Version_UMD	Overlap	400433
CNVR_133	12	72419043	76870470	89	53	1	35		Mixed	4451428	Version_UMD	Overlap	50947
CNVR_134	12	82137254	82229884	7	7				Loss	92631	Version_UMD	Overlap	83430
CNVR_135	12	83266140	85453952	2			2		Gain	2187813	Version_UMD	Overlap	1329170
CNVR_136	13	1342729	1425986	1	1				Loss	83258	Version_UMD	Non-Overlap	
CNVR_137	13	12543348	12808180	1			1		Gain	264833	Version_UMD	Overlap	264833
