name2	gene_list_1	gene_list_2	Common_Gene
A1BG	2	1	Common_Low
AAMP	0	1	Common_Low
AANAT	1	1	Common_Low
ABCA7	3	1	Common_Low
ABCB9	1	2	Common_Low
ABCG2	9	9	Common_Low
ABHD13	0	1	Common_Low
ABHD14B	1	1	Common_Low
ABHD16A	1	0	Common_Low
ABHD16B	4	4	Common_Low
ABI1	3	2	Common_Low
ABL2	12	0	Common_Low
ABO	1	0	Common_Low
ABTB1	2	2	Common_Low
ACACA	2	2	Common_Low
ACADL	1	1	Common_Low
ACADVL	2	2	Common_Low
ACAP1	5	5	Common_Low
ACAP3	1	1	Common_Low
ACBD5	2	2	Common_Low
ACO2	1	1	Common_Low
ACOX3	2	0	Common_Low
ACSL6	1	1	Common_Low
ACTB	1	1	Common_Low
ACTL6B	5	5	Common_Low
ACTR6	1	0	Common_Low
ACY1	1	1	Common_Low
ADAM22	1	0	Common_Low
ADAM32	1	0	Common_Low
ADAMTS14	1	1	Common_Low
ADAP1	2	2	Common_Low
ADAP2	1	1	Common_Low
ADARB2	0	2	Common_Low
ADCK5	8	7	Common_Low
ADD1	3	2	Common_Low
ADD3	1	1	Common_Low
ADGRA1	8	8	Common_Low
ADGRE5	1	1	Common_Low
ADGRG7	1	1	Common_Low
ADGRL1	0	1	Common_Low
ADGRL2	2	1	Common_Low
ADGRL3	7	8	Common_Low
ADGRL4	3	3	Common_Low
ADK	1	0	Common_Low
ADSS	1	1	Common_Low
ADSS1	0	3	Common_Low
ADSSL1	7	0	Common_Low
AFMID	2	3	Common_Low
AGFG2	6	6	Common_Low
AGMO	1	1	Common_Low
AGO1	2	0	Common_Low
AGO3	1	1	Common_Low
AGPAT2	3	5	Common_Low
AGPS	1	1	Common_Low
AHCTF1	1	1	Common_Low
AIF1	1	0	Common_Low
AIP	2	1	Common_Low
AJUBA	2	1	Common_Low
AK8	0	2	Common_Low
AKR1A1	3	2	Common_Low
AKR7A2	0	2	Common_Low
AKT1	7	3	Common_Low
AKT3	3	3	Common_Low
ALCAM	2	2	Common_Low
ALDH5A1	0	1	Common_Low
ALDH7A1	2	3	Common_Low
ALKBH5	1	0	Common_Low
ALYREF	2	4	Common_Low
AMT	1	1	Common_Low
AMY2B	1	1	Common_Low
ANAPC11	2	4	Common_Low
ANKIB1	2	1	Common_Low
ANKRD13D	3	1	Common_Low
ANKRD65	1	0	Common_Low
ANTKMT	0	2	Common_Low
AP1M2	1	1	Common_Low
AP3B1	1	1	Common_Low
AP5Z1	0	1	Common_Low
APELA	1	1	Common_Low
APOH	8	0	Common_Low
APOM	1	0	Common_Low
ARFGAP1	5	4	Common_Low
ARFRP1	5	5	Common_Low
ARHGAP15	1	1	Common_Low
ARHGAP39	2	1	Common_Low
ARHGAP45	3	1	Common_Low
ARHGDIA	2	4	Common_Low
ARHGEF16	1	1	Common_Low
ARHGEF19	1	0	Common_Low
ARHGEF26	1	1	Common_Low
ARID3A	1	1	Common_Low
ARID4B	2	3	Common_Low
ARL4D	0	1	Common_Low
ARMC4	0	1	Common_Low
ARMC7	3	4	Common_Low
ARPC2	0	1	Common_Low
ARRDC3	3	3	Common_Low
ARSG	1	2	Common_Low
ARVCF	4	3	Common_Low
ASCC3	2	1	Common_Low
ASF1B	0	1	Common_Low
ASPSCR1	8	16	Common_Low
ATAD3A	1	0	Common_Low
ATAD5	1	1	Common_Low
ATF7IP	5	5	Common_Low
ATG4B	3	3	Common_Low
ATG4D	1	1	Common_Low
ATMIN	1	1	Common_Low
ATP1B2	5	1	Common_Low
ATP5F1D	4	2	Common_Low
ATP5PD	3	3	Common_Low
ATP5PO	1	1	Common_Low
ATPAF2	1	0	Common_Low
AURKAIP1	1	0	Common_Low
B2M	2	4	Common_Low
B3GALT4	1	1	Common_Low
B3GNT3	1	3	Common_Low
B3GNT5	6	6	Common_Low
BAG6	1	0	Common_Low
BAIAP2	3	1	Common_Low
BANP	1	1	Common_Low
BCHE	3	3	Common_Low
BCL2L12	2	2	Common_Low
BCL7B	1	1	Common_Low
BET1	0	2	Common_Low
BICDL2	1	1	Common_Low
BIRC3	3	1	Common_Low
BIRC5	1	1	Common_Low
BIRC6	1	0	Common_Low
BLA-DQB	59	0	High_Freq_list_1
BMP7	1	1	Common_Low
BOK	1	1	Common_Low
BOLA	4	1	Common_Low
BOLA-DOA	1	1	Common_Low
BOLA-DQA2	6	0	Common_Low
BOLA-DQA5	6	0	Common_Low
BOLA-DQB	6	0	Common_Low
BOLA-DRB3	30	0	High_Freq_list_1
BOLA-NC1	0	1	Common_Low
BOLA1	1	1	Common_Low
BPHL	4	2	Common_Low
BRAT1	4	5	Common_Low
BRD2	1	1	Common_Low
BRINP3	4	5	Common_Low
BTBD6	4	0	Common_Low
BTN1A1	3	6	Common_Low
BTRC	1	1	Common_Low
C10H14orf93	2	1	Common_Low
C11H9orf116	1	1	Common_Low
C14H8orf34	1	1	Common_Low
C14H8orf82	2	1	Common_Low
C16H1orf100	1	1	Common_Low
C16H1orf159	2	2	Common_Low
C17H22orf39	2	2	Common_Low
C18H16orf87	4	0	Common_Low
C19H17orf78	1	1	Common_Low
C21H14orf180	1	0	Common_Low
C23H6orf47	1	0	Common_Low
C25H16orf54	1	2	Common_Low
C25H16orf91	5	4	Common_Low
C25H7orf50	2	2	Common_Low
C25H7orf61	3	3	Common_Low
C7H19orf24	4	0	Common_Low
C7H19orf25	3	1	Common_Low
C7H19orf71	1	0	Common_Low
C8G	7	6	Common_Low
C8H9orf3	1	1	Common_Low
CA11	1	1	Common_Low
CA5A	1	1	Common_Low
CABP2	1	1	Common_Low
CABP4	2	1	Common_Low
CACNA2D1	3	3	Common_Low
CALCR	1	0	Common_Low
CALCRL	7	6	Common_Low
CAMLG	1	0	Common_Low
CAPZB	0	1	Common_Low
CARD6	1	0	Common_Low
CARD9	4	5	Common_Low
CARS	1	0	Common_Low
CARS1	0	1	Common_Low
CARS2	2	1	Common_Low
CASKIN2	1	0	Common_Low
CBX1	1	0	Common_Low
CCAR1	1	4	Common_Low
CCDC106	1	1	Common_Low
CCDC116	1	0	Common_Low
CCDC117	4	0	Common_Low
CCDC127	1	1	Common_Low
CCDC134	1	1	Common_Low
CCDC137	1	1	Common_Low
CCDC151	2	1	Common_Low
CCDC166	1	1	Common_Low
CCDC183	2	2	Common_Low
CCDC43	1	0	Common_Low
CCHCR1	4	1	Common_Low
CCND2	4	3	Common_Low
CCNK	1	1	Common_Low
CCNL2	1	0	Common_Low
CCR5	0	1	Common_Low
CCRL2	0	1	Common_Low
CCS	1	1	Common_Low
CCSER1	6	6	Common_Low
CD151	5	0	Common_Low
CD163L1	1	0	Common_Low
CD2BP2	1	2	Common_Low
CD3EAP	1	0	Common_Low
CD68	3	1	Common_Low
CDADC1	1	1	Common_Low
CDC27	1	0	Common_Low
CDC42BPA	1	1	Common_Low
CDC45	2	2	Common_Low
CDH10	1	2	Common_Low
CDH12	5	7	Common_Low
CDH18	6	6	Common_Low
CDH7	1	0	Common_Low
CDH9	9	8	Common_Low
CDHR5	0	1	Common_Low
CDK10	3	1	Common_Low
CDK11B	1	0	Common_Low
CDK2AP2	1	1	Common_Low
CDK5RAP3	0	1	Common_Low
CDK7	1	0	Common_Low
CDKN2D	1	1	Common_Low
CDR2L	2	2	Common_Low
CDSN	3	1	Common_Low
CEND1	1	0	Common_Low
CENPH	1	0	Common_Low
CENPM	1	1	Common_Low
CENPN	1	1	Common_Low
CENPX	8	8	Common_Low
CEP131	1	2	Common_Low
CERCAM	0	1	Common_Low
CERS6	24	24	Common_High
CERT1	0	1	Common_Low
CFAP20	0	1	Common_Low
CFAP299	5	6	Common_Low
CFD	1	0	Common_Low
CFH	0	17	Common_Low
CFL1	2	2	Common_Low
CHID1	1	0	Common_Low
CHMP1A	3	1	Common_Low
CHMP2A	6	4	Common_Low
CHMP3	1	1	Common_Low
CHP1	1	0	Common_Low
CHRM3	1	1	Common_Low
CHRNA4	9	4	Common_Low
CHRNB1	6	5	Common_Low
CHST12	3	3	Common_Low
CIAO1	1	0	Common_Low
CIAO3	1	1	Common_Low
CIBAR2	0	1	Common_Low
CIRBP	4	2	Common_Low
CIST1	1	0	Common_Low
CLBA1	5	2	Common_Low
CLCN7	5	5	Common_Low
CLDN10	3	3	Common_Low
CLDN16	0	1	Common_Low
CLDN5	2	2	Common_Low
CLDN6	1	1	Common_Low
CLDN7	7	7	Common_Low
CLIC1	1	0	Common_Low
CLIC3	6	6	Common_Low
CLIP1	6	6	Common_Low
CLPTM1L	2	2	Common_Low
CLSPN	2	1	Common_Low
CLVS2	1	1	Common_Low
CMC2	1	1	Common_Low
CNGB1	1	3	Common_Low
CNIH4	1	1	Common_Low
CNN1	0	1	Common_Low
CNN2	3	1	Common_Low
CNPY3	4	4	Common_Low
CNTN5	4	12	Common_Low
CNTN6	2	2	Common_Low
COIL	1	0	Common_Low
COL11A2	1	1	Common_Low
COL4A3BP	1	0	Common_Low
COLGALT1	1	0	Common_Low
COMMD5	2	1	Common_Low
COMT	4	3	Common_Low
COP1	1	0	Common_Low
COPZ2	6	2	Common_Low
COQ3	1	0	Common_Low
CORO1B	4	3	Common_Low
COX10	1	1	Common_Low
COX19	2	2	Common_Low
COX6B2	1	1	Common_Low
CPB2	1	1	Common_Low
CPEB3	1	1	Common_Low
CPLX1	1	1	Common_Low
CPNE7	4	2	Common_Low
CPSF1	8	7	Common_Low
CPT1A	4	0	Common_Low
CPTP	1	1	Common_Low
CRAMP1	5	8	Common_Low
CRAT	1	2	Common_Low
CRB1	1	0	Common_Low
CREB3L3	3	1	Common_Low
CRIP1	2	0	Common_Low
CRIP2	2	1	Common_Low
CRLF3	1	1	Common_Low
CRYZL1	0	1	Common_Low
CSDC2	1	1	Common_Low
CSMD3	1	0	Common_Low
CSN1S1	1	0	Common_Low
CSNK2B	1	0	Common_Low
CSTB	2	0	Common_Low
CTDNEP1	3	3	Common_Low
CTDSP1	0	1	Common_Low
CTNNA3	15	8	Common_Low
CTNNAL1	0	1	Common_Low
CTSZ	1	1	Common_Low
CTU1	1	1	Common_Low
CUEDC1	1	1	Common_Low
CYC1	4	2	Common_Low
CYGB	1	1	Common_Low
CYHR1	14	12	Common_Low
CYLC2	11	5	Common_Low
CYP46A1	1	1	Common_Low
CYSLTR2	2	2	Common_Low
CYSRT1	3	2	Common_Low
CYTH2	1	1	Common_Low
D2HGDH	3	3	Common_Low
DAG1	1	1	Common_Low
DAZAP1	3	1	Common_Low
DBP	1	1	Common_Low
