name2_1	Frequency_1	ID_1	Chr_1	CNVR_Start_1	CNVR_End_1	Frequency_2	ID_2	Chr_2	CNVR_Start_2	CNVR_End_2	Frequency_3	ID_3	Chr_3	CNVR_Start_3	CNVR_End_3	Frequency_4	ID_4	Chr_4	CNVR_Start_4	CNVR_End_4	Common_check
5S_rRNA	0	0	0	0	0	11	CNVR_424	10	9143166	9354675	0	0	0	0	0	0	0	0	0	0	Common_low
7SK	0	0	0	0	0	2	CNVR_352	7	91189501	92330502	0	0	0	0	0	0	0	0	0	0	Common_low
A1BG	0	0	0	0	0	2	CNVR_716	18	65603314	65814370	2	CNVR_716	18	65603314	65814370	0	0	0	0	0	Common_low
AANAT	0	0	0	0	0	1	CNVR_755	19	54968541	55578623	1	CNVR_755	19	54968541	55578623	0	0	0	0	0	Common_low
AATK	0	0	0	0	0	2	CNVR_751	19	51489174	51643975	0	0	0	0	0	0	0	0	0	0	Common_low
ABCA13	0	0	0	0	0	1	CNVR_156	4	7372107	7455891	0	0	0	0	0	0	0	0	0	0	Common_low
ABCA2	0	0	0	0	0	7	CNVR_486	11	105779716	106470561	0	0	0	0	0	0	0	0	0	0	Common_low
ABCA7	0	0	0	0	0	3	CNVR_341	7	43369002	44022730	3	CNVR_341	7	43369002	44022730	0	0	0	0	0	Common_low
ABCB9	0	0	0	0	0	1	CNVR_670	17	52529561	52696346	1	CNVR_670	17	52529561	52696346	0	0	0	0	0	Common_low
ABCG2	1	CNVR_64	6	37962382	37976610	9	CNVR_275	6	36535012	36551432	9	CNVR_275	6	36535012	36551432	1	CNVR_64	6	37962382	37976610	Common_low
ABHD14A	0	0	0	0	0	1	CNVR_834	22	48907762	49184065	0	0	0	0	0	0	0	0	0	0	Common_low
ABHD14B	0	0	0	0	0	1	CNVR_834	22	48907762	49184065	1	CNVR_834	22	48907762	49184065	0	0	0	0	0	Common_low
ABHD16A	1	CNVR_208	23	27286587	27903991	1	CNVR_849	23	27494111	27734916	1	CNVR_849	23	27494111	27734916	1	CNVR_208	23	27286587	27903991	Common_low
ABHD16B	0	0	0	0	0	4	CNVR_543	13	53822879	54521999	4	CNVR_543	13	53822879	54521999	0	0	0	0	0	Common_low
