bin	name	Chr	strand	Start	End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
106	NM_001035472	chr1	+	35381296	35415199	35381496	35413610	6	35381296,35398924,35403015,35406907,35413191,35413499,	35381530,35399016,35403210,35407010,35413298,35415199,	0	CHMP2B	cmpl	cmpl	0,1,0,0,1,0,
592	NM_001077977	chr1	+	1040522	1047018	1046439	1046829	3	1040522,1041573,1046389,	1040594,1041668,1047018,	0	KCNE1	cmpl	cmpl	-1,-1,0,
593	NM_001077124	chr1	-	1099124	1100143	1099325	1100081	1	1099124,	1100143,	0	FAM243A	cmpl	cmpl	0,
593	NM_001114516	chr1	-	1102878	1118312	1105555	1112114	4	1102878,1105542,1112102,1118250,	1103061,1105720,1112201,1118312,	0	SMIM11A	cmpl	cmpl	-1,0,0,-1,
593	NM_001077084	chr1	-	1123940	1131748	1124229	1124601	2	1123940,1131642,	1124613,1131748,	0	KCNE2	cmpl	cmpl	0,-1,
1200	NM_173984	chr1	-	80611856	80618770	80612224	80618760	7	80611856,80613171,80614116,80615401,80615931,80616333,80618547,	80612542,80613258,80614218,80615565,80616016,80616444,80618770,	0	AHSG	cmpl	cmpl	0,0,0,1,0,0,0,
599	NM_001035037	chr1	+	1909585	1943207	1918314	1942914	13	1909585,1918308,1919950,1920756,1922869,1924592,1933204,1934464,1936832,1938586,1939736,1942228,1942814,	1909641,1918380,1920028,1920829,1922914,1924661,1933338,1934576,1936931,1938708,1939842,1942274,1943207,	0	CRYZL1	cmpl	cmpl	-1,0,0,0,1,1,1,0,1,1,0,1,2,
599	NM_001083445	chr1	+	1943960	1954001	1943960	1953367	10	1943960,1945008,1946022,1947128,1948520,1949322,1949512,1950463,1951841,1953229,	1944257,1945089,1946226,1947307,1948699,1949404,1949617,1950662,1952054,1954001,	0	DONSON	cmpl	cmpl	0,0,0,0,2,1,2,2,0,0,
74	NM_001083694	chr1	-	1954260	1985117	1955011	1985068	13	1954260,1955689,1955906,1957761,1961941,1963068,1970278,1970660,1972709,1974168,1978268,1981826,1984991,	1955170,1955805,1955978,1957909,1962058,1963179,1970467,1970807,1972871,1977311,1980071,1981993,1985117,	0	SON	cmpl	cmpl	0,1,1,0,0,0,0,0,0,1,1,2,0,
1441	NM_001045879	chr4	-	112198598	112215554	112198982	112215495	10	112198598,112200107,112200534,112203029,112205795,112206058,112206693,112208835,112209971,112215407,	112199398,112200341,112200688,112203181,112205954,112206264,112206832,112209041,112210149,112215554,	0	PDIA4	cmpl	cmpl	1,1,0,1,1,2,1,2,1,0,
