Chr_2	CNVR_ID	Start	End	Length	CNVR_ID_2	Start_2	End_2	Length_2	overlap_len
9	CNVR_100	12645042	12730808	85767	CNVR_100	12645042	12730808	85767	85767
9	CNVR_101	15709574	18194116	2484543	CNVR_101	15709574	18194116	2484543	2484543
9	CNVR_102	30547032	30573582	26551	CNVR_102	30547032	30573582	26551	26551
9	CNVR_103	34887270	35923167	1035898	CNVR_103	34887270	35923167	1035898	1035898
9	CNVR_105	45606562	45689245	82684	CNVR_105	45606562	45689245	82684	82684
9	CNVR_106	46627675	47588878	961204	CNVR_106	46627675	47588878	961204	961204
9	CNVR_107	78116942	79494934	1377993	CNVR_107	78116942	79494934	1377993	1377993
9	CNVR_108	84752377	84841375	88999	CNVR_108	84752377	84841375	88999	88999
9	CNVR_109	89377321	89430687	53367	CNVR_109	89377321	89430687	53367	53367
1	CNVR_11	88012422	88278205	265784	CNVR_11	88012422	88278205	265784	265784
9	CNVR_110	94501675	94536565	34891	CNVR_110	94501675	94536565	34891	34891
10	CNVR_111	2367278	2387809	20532	CNVR_111	2367278	2387809	20532	20532
10	CNVR_112	14157673	14228843	71171	CNVR_112	14157673	14228843	71171	71171
10	CNVR_114	27012287	27057896	45610	CNVR_114	27012287	27057896	45610	45610
10	CNVR_115	34762781	34914334	151554	CNVR_115	34762781	34914334	151554	151554
10	CNVR_116	55628092	55725724	97633	CNVR_116	55628092	55725724	97633	97633
10	CNVR_117	76780386	76832316	51931	CNVR_117	76780386	76832316	51931	51931
10	CNVR_119	102986864	103129795	142932	CNVR_119	102986864	103129795	142932	142932
11	CNVR_120	4207906	4256064	48159	CNVR_120	4207906	4256064	48159	48159
11	CNVR_121	16705395	18452325	1746931	CNVR_121	16705395	18452325	1746931	1746931
11	CNVR_122	40034783	40079795	45013	CNVR_122	40034783	40079795	45013	45013
11	CNVR_123	52091618	52227673	136056	CNVR_123	52091618	52227673	136056	136056
12	CNVR_126	34199608	34258544	58937	CNVR_126	34199608	34258544	58937	58937
12	CNVR_127	41789189	43504096	1714908	CNVR_127	41789189	43504096	1714908	1714908
12	CNVR_128	57541708	58363778	822071	CNVR_128	57541708	58363778	822071	822071
12	CNVR_129	58746483	58878268	131786	CNVR_129	58746483	58878268	131786	131786
12	CNVR_130	61307520	61401960	94441	CNVR_130	61307520	61401960	94441	94441
12	CNVR_134	78154330	78246588	92259	CNVR_134	78154330	78246588	92259	92259
12	CNVR_135	79279720	81461384	2181665	CNVR_135	79279720	81461384	2181665	2181665
13	CNVR_137	12485887	12748454	262568	CNVR_137	12485887	12748454	262568	262568
13	CNVR_138	41276409	41311826	35418	CNVR_138	41276409	41311826	35418	35418
2	CNVR_14	7515330	8523016	1007687	CNVR_14	7515330	8523016	1007687	1007687
13	CNVR_140	53368037	53391697	23661	CNVR_140	53368037	53391697	23661	23661
13	CNVR_141	53444123	53603359	159237	CNVR_141	53444123	53603359	159237	159237
14	CNVR_143	18391223	18812033	420811	CNVR_143	18391223	18812033	420811	420811
14	CNVR_144	74953884	75064248	110365	CNVR_144	74953884	75064248	110365	110365
14	CNVR_145	75956030	76005515	49486	CNVR_145	75956030	76005515	49486	49486
14	CNVR_146	82225051	82247268	22218	CNVR_146	82225051	82247268	22218	22218
15	CNVR_148	1905039	4073281	2168243	CNVR_148	1905039	4073281	2168243	2168243
15	CNVR_149	12426564	12486367	59804	CNVR_149	12426564	12486367	59804	59804
2	CNVR_15	9879504	13382039	3502536	CNVR_15	9879504	13382039	3502536	3502536
15	CNVR_150	18286949	18377874	90926	CNVR_150	18286949	18377874	90926	90926
15	CNVR_151	45854304	46354274	499971	CNVR_151	45854304	46354274	499971	499971
15	CNVR_152	47377734	47491314	113581	CNVR_152	47377734	47491314	113581	113581
15	CNVR_154	67203221	67239891	36671	CNVR_154	67203221	67239891	36671	36671
15	CNVR_155	67568308	72384357	4816050	CNVR_155	67568308	72384357	4816050	4816050
16	CNVR_157	5733578	6196805	463228	CNVR_157	5733578	6196805	463228	463228
16	CNVR_158	6368752	6434297	65546	CNVR_158	6368752	6434297	65546	65546
16	CNVR_159	10254850	10354010	99161	CNVR_159	10254850	10354010	99161	99161
2	CNVR_16	13567931	13637158	69228	CNVR_16	13567931	13637158	69228	69228
16	CNVR_160	11845599	11891004	45406	CNVR_160	11845599	11891004	45406	45406
16	CNVR_161	14492399	14657972	165574	CNVR_161	14492399	14657972	165574	165574
16	CNVR_162	47122872	47239304	116433	CNVR_162	47122872	47239304	116433	116433
16	CNVR_163	60497554	60807765	310212	CNVR_163	60497554	60807765	310212	310212
17	CNVR_164	750714	2766673	2015960	CNVR_164	750714	2766673	2015960	2015960
17	CNVR_165	21967677	22060904	93228	CNVR_165	21967677	22060904	93228	93228
17	CNVR_166	24684161	24741438	57278	CNVR_166	24684161	24741438	57278	57278
17	CNVR_167	26883751	27068312	184562	CNVR_167	26883751	27068312	184562	184562
17	CNVR_168	30227652	33693618	3465967	CNVR_168	30227652	33693618	3465967	3465967
17	CNVR_169	41446019	41709619	263601	CNVR_169	41446019	41709619	263601	263601
2	CNVR_17	27318294	27979992	661699	CNVR_17	27318294	27979992	661699	661699
17	CNVR_170	46611094	46669627	58534	CNVR_170	46611094	46669627	58534	58534
17	CNVR_172	72708941	72912770	203830	CNVR_172	72708941	72912770	203830	203830
18	CNVR_173	2776211	2824948	48738	CNVR_173	2776211	2824948	48738	48738
18	CNVR_174	27779305	28283763	504459	CNVR_174	27779305	28283763	504459	504459
18	CNVR_177	63744408	63763349	18942	CNVR_177	63744408	63763349	18942	18942
19	CNVR_179	14265926	14292872	26947	CNVR_179	14265926	14292872	26947	26947
2	CNVR_18	28158461	29743773	1585313	CNVR_18	28158461	29743773	1585313	1585313
19	CNVR_180	26942729	27421507	478779	CNVR_180	26942729	27421507	478779	478779
19	CNVR_181	50879654	50929851	50198	CNVR_181	50879654	50929851	50198	50198
19	CNVR_182	52122464	52254545	132082	CNVR_182	52122464	52254545	132082	132082
19	CNVR_183	54480415	54571657	91243	CNVR_183	54480415	54571657	91243	91243
20	CNVR_184	1197732	1307811	110080	CNVR_184	1197732	1307811	110080	110080
20	CNVR_185	9887590	9963549	75960	CNVR_185	9887590	9963549	75960	75960
20	CNVR_186	10328272	10500984	172713	CNVR_186	10328272	10500984	172713	172713
20	CNVR_188	29711188	29779527	68340	CNVR_188	29711188	29779527	68340	68340
20	CNVR_189	46005764	46068249	62486	CNVR_189	46005764	46068249	62486	62486
2	CNVR_19	55118213	58153528	3035316	CNVR_19	55118213	58153528	3035316	3035316
20	CNVR_190	53269590	53333752	64163	CNVR_190	53269590	53333752	64163	64163
