ID	Chr	Start	End	n_gene	gene_name
CNVR_1	1	1556392	1761967	3	ATP5PO,MIR12045,MIR2285BS
CNVR_2	1	1984725	2024917	2	SON,GART
CNVR_3	1	5321320	5372683	NA	NA
CNVR_4	1	5519231	5569070	NA	NA
CNVR_5	1	6813154	6910759	NA	NA
CNVR_6	1	7159731	7202401	1	LTN1
CNVR_7	1	7260253	7280774	1	N6AMT1
CNVR_8	1	8831407	8873776	NA	NA
CNVR_9	1	9666125	9708099	NA	NA
CNVR_10	1	10954721	11033253	NA	NA
CNVR_11	1	11541372	11604750	NA	NA
CNVR_12	1	12453794	13395358	NA	NA
CNVR_13	1	13643769	13735139	NA	NA
CNVR_14	1	14064963	15727563	NA	NA
CNVR_15	1	15990556	16114873	NA	NA
CNVR_16	1	16378859	18309665	NA	NA
CNVR_17	1	18918611	19206010	NA	NA
CNVR_18	1	20541415	20566611	NA	NA
CNVR_19	1	23172053	25019922	NA	NA
CNVR_20	1	25470169	25495578	NA	NA
CNVR_21	1	26533913	27099907	1	ROBO1
CNVR_22	1	27876441	28272873	NA	NA
CNVR_23	1	29712048	29773499	NA	NA
CNVR_24	1	30472317	32511532	NA	NA
CNVR_25	1	33034361	33342088	NA	NA
CNVR_26	1	33584316	33610831	NA	NA
CNVR_27	1	38112817	38181686	NA	NA
CNVR_28	1	38752163	40795725	NA	NA
CNVR_29	1	41184151	41455680	NA	NA
CNVR_30	1	42466675	42574052	NA	NA
CNVR_31	1	42665290	42692592	NA	NA
CNVR_32	1	44571298	44649313	1	NIT2
CNVR_33	1	45090218	45146168	1	ADGRG7
CNVR_34	1	46884964	46963727	NA	NA
CNVR_35	1	47249572	49067075	NA	NA
CNVR_36	1	49952651	50064432	1	ALCAM
CNVR_37	1	50767507	50809694	NA	NA
CNVR_38	1	54797676	55040423	NA	NA
CNVR_39	1	65615459	65778705	1	STXBP5L
CNVR_40	1	70145874	70404106	4	RPL35A,IQCG,FYTTD1,RUBCN
CNVR_41	1	70995564	71042439	1	RNF168
CNVR_42	1	71238937	71380741	1	PAK2
CNVR_43	1	75707006	75732698	NA	NA
CNVR_44	1	81343507	81416748	1	IGF2BP2
CNVR_45	1	83707085	83810343	1	B3GNT5
CNVR_46	1	84064869	84176862	1	DCUN1D1
CNVR_47	1	88063961	88278205	1	KCNMB2
CNVR_48	1	90705336	90742154	NA	NA
CNVR_49	1	90828316	93051564	NA	NA
CNVR_50	1	94706023	94804961	1	ECT2
CNVR_51	1	100412522	105472672	2	BCHE,SI
CNVR_52	1	113427015	113486828	1	ARHGEF26
CNVR_53	1	120398043	120455085	NA	NA
CNVR_54	1	121001134	121382033	NA	NA
CNVR_55	1	122876909	123779281	NA	NA
CNVR_56	1	143676439	143747418	1	HSF2BP
CNVR_57	1	143781586	143851649	2	PDXK,CSTB
CNVR_58	1	154034461	154064579	1	PLCL2
CNVR_59	1	154336232	154445682	1	TBC1D5
CNVR_60	1	157003140	157019589	NA	NA
CNVR_61	1	157665979	157775990	1	LOC538060
CNVR_62	1	157905244	157913264	NA	NA
CNVR_63	2	204346	288663	NA	NA
CNVR_64	2	2326560	2458209	NA	NA
CNVR_65	2	6269501	6322314	1	MSTN
CNVR_66	2	7550253	8355987	1	GULP1
CNVR_67	2	8788884	9443359	2	TFPI,CALCRL
CNVR_68	2	9813911	13056656	1	ZC3H15
CNVR_69	2	13522631	13637158	NA	NA
CNVR_70	2	19191623	19230960	1	PDE11A
CNVR_71	2	19365290	19425494	1	AGPS
CNVR_72	2	24673731	24815717	2	SLC25A12,DYNC1I2
CNVR_73	2	25395889	25456418	NA	NA
CNVR_74	2	26314361	26356161	NA	NA
CNVR_75	2	27318294	27979992	4	NOSTRIN,CERS6,MIR2353,STK39
CNVR_76	2	29677272	29717162	NA	NA
CNVR_77	2	31883917	32450315	NA	NA
CNVR_78	2	33024101	33371557	NA	NA
CNVR_79	2	34207757	34251649	1	FAP
CNVR_80	2	34552816	34703310	1	SLC4A10
CNVR_81	2	35769270	35793441	NA	NA
CNVR_82	2	36335995	36379882	1	PLA2R1
CNVR_83	2	40036763	40178965	NA	NA
CNVR_84	2	40567748	40888086	NA	NA
CNVR_85	2	40946462	41235220	1	KCNJ3
CNVR_86	2	41646651	42342093	1	GALNT13
CNVR_87	2	45279148	45336061	NA	NA
CNVR_88	2	48014334	48055631	NA	NA
CNVR_89	2	53138918	53401974	1	ARHGAP15
CNVR_90	2	54271830	54400029	NA	NA
CNVR_91	2	55350431	57057615	NA	NA
CNVR_92	2	57247941	57312184	NA	NA
CNVR_93	2	63565463	63711962	NA	NA
CNVR_94	2	63910767	64472720	NA	NA
CNVR_95	2	66748754	66815647	NA	NA
CNVR_96	2	67310989	67615665	1	DPP10
CNVR_97	2	67837589	68447622	NA	NA
CNVR_98	2	77033487	78401150	NA	NA
CNVR_99	2	80924332	83267596	NA	NA
CNVR_100	2	96821685	97013750	NA	NA
CNVR_101	2	98018683	98062823	1	ACADL
CNVR_102	2	99371113	100152972	NA	NA
CNVR_103	2	108777666	108816422	NA	NA
CNVR_104	2	110332803	110471585	2	PAX3,MIR2284Y-5
CNVR_105	2	112954557	113155761	1	DOCK10
CNVR_106	2	114523616	114535823	NA	NA
CNVR_107	2	119309298	119361101	NA	NA
CNVR_108	2	123741216	123802863	NA	NA
CNVR_109	2	126955290	126976378	1	PDIK1L
CNVR_110	2	129061339	129121125	4	FUCA1,HMGCL,GALE,LYPLA2
CNVR_111	2	129781417	129915969	1	EPHB2
CNVR_112	2	134437290	134476837	NA	NA
CNVR_113	2	135880908	136019931	3	ARHGEF19,EPHA2,MIR12026-1
CNVR_114	3	397758	454705	1	TIPRL
CNVR_115	3	9737010	9759429	1	IGSF9
CNVR_116	3	16760836	16820503	5	S100A13,S100A14,S100A16,S100A2,S100A3
CNVR_117	3	20706978	20756370	4	SV2A,BOLA1,HIST2H2AC,HIST2H2BE
CNVR_118	3	21383804	21424575	3	TXNIP,POLR3GL,LIX1L
CNVR_119	3	28845503	28971745	1	TRIM33
CNVR_120	3	30350337	30396757	1	SLC16A1
CNVR_121	3	31593802	31697365	1	RAP1A
CNVR_122	3	34307747	34387819	1	TAF13
CNVR_123	3	37209678	40032182	2	AMY2B,RNPC3
CNVR_124	3	41095470	41306744	1	OLFM3
CNVR_125	3	43114547	43283206	5	LRRC39,TRMT13,SASS6,MFSD14A,SLC35A3
CNVR_126	3	43920523	43982066	NA	NA
CNVR_127	3	51981186	52060111	1	HFM1
CNVR_128	3	52257274	52264697	1	ZNF644
CNVR_129	3	52321114	52363402	1	ZNF644
CNVR_130	3	54211974	54781990	1	GBP4
CNVR_131	3	55075515	55189536	1	PKN2
CNVR_132	3	56635728	56711353	1	LMO4
CNVR_133	3	57352427	57392327	1	LOC784768
CNVR_134	3	58919048	58938248	1	SYDE2
CNVR_135	3	62278399	62720838	1	ADGRL2
CNVR_136	3	63108408	65747448	2	ADGRL2,ADGRL4
CNVR_137	3	68133029	68172039	NA	NA
CNVR_138	3	68994261	69057163	1	MSH4
CNVR_139	3	69503016	69616165	1	SLC44A5
CNVR_140	3	69713184	69735264	NA	NA
CNVR_141	3	70802677	72170955	NA	NA
CNVR_142	3	72879334	73180249	1	NEGR1
CNVR_143	3	75327867	75535019	1	LRRC7
CNVR_144	3	76432417	76525892	NA	NA
CNVR_145	3	90468808	90478848	NA	NA
CNVR_146	3	94818813	95038877	2	EPS15,RNF11
CNVR_147	3	100277178	100601230	7	IPP,TMEM69,GPBP1L1,NASP,AKR1A1,PRDX1,MMACHC
CNVR_148	3	105906709	105941874	1	RLF
CNVR_149	3	109750764	110033765	3	AGO3,AGO1,CLSPN
CNVR_150	3	116951206	116992159	1	MLPH
CNVR_151	3	119471788	119559889	NA	NA
CNVR_152	3	120634274	120886943	7	BOK,THAP4,ATG4B,DTYMK,ING5,D2HGDH,PDCD1
CNVR_153	4	190991	4139295	1	VSTM2A
CNVR_154	4	5815841	5868189	1	ZPBP
