CNVR_ID	Chr	Start	End	Frequency	n_Sample	0	1	3	4	Type	Length
CNVR_1	1	14652420	14717338	1	1	1				Loss	64919
CNVR_2	1	15937076	16069418	1	1			1		Gain	132343
CNVR_3	1	16277524	17021138	2	2	1	1			Loss	743615
CNVR_4	1	18946871	18998146	1	1			1		Gain	51276
CNVR_5	1	22539046	26966818	2	2			2		Gain	4427773
CNVR_6	1	38472886	40379850	1	1				1	Gain	1906965
CNVR_7	1	47078177	50057426	1	1			1		Gain	2979250
CNVR_8	1	55259756	55396138	1	1		1			Loss	136383
CNVR_9	1	62918442	63025706	1	1	1				Loss	107265
CNVR_10	1	72115021	72350394	1	1	1				Loss	235374
CNVR_11	1	88638760	88904687	2	2			2		Gain	265928
CNVR_12	1	90813044	95047587	2	2	1		1		Mixed	4234544
CNVR_13	1	142904469	142999555	4	4	4				Loss	95087
CNVR_111	10	2315405	2335938	1	1	1				Loss	20534
CNVR_112	10	14129663	14200836	1	1			1		Gain	71174
CNVR_113	10	22379850	25265627	53	51	43	1	9		Mixed	2885778
CNVR_114	10	27053298	27098905	1	1	1				Loss	45608
CNVR_115	10	34862923	35014790	3	3	3				Loss	151868
CNVR_116	10	55708101	55805448	3	3	3				Loss	97348
CNVR_117	10	77091346	77143173	1	1	1				Loss	51828
CNVR_118	10	87560350	87800552	2	2			2		Gain	240203
CNVR_119	10	104016609	104152410	2	2			1	1	Gain	135802
CNVR_120	11	4177123	4225930	1	1	1				Loss	48808
CNVR_121	11	16727817	18471801	1	1			1		Gain	1743985
CNVR_122	11	39888471	39936968	2	2			2		Gain	48498
CNVR_123	11	52004919	52140975	1	1	1				Loss	136057
CNVR_124	11	103363410	106804258	4	4		1	1	2	Mixed	3440849
CNVR_125	12	32089643	32182960	7	7	2		5		Mixed	93318
CNVR_126	12	34446868	34505806	1	1	1				Loss	58939
CNVR_127	12	42098999	43799317	2	2		1	1		Mixed	1700319
CNVR_128	12	57900635	58725768	27	27	1	24	2		Mixed	825134
CNVR_129	12	59108123	59239590	5	5			5		Gain	131468
CNVR_130	12	61667023	61759245	1	1	1				Loss	92223
CNVR_131	12	70488515	70618867	6	6	6				Loss	130353
CNVR_132	12	70816749	72117025	14	14	14				Loss	1300277
CNVR_133	12	72419043	76870470	89	77	53	1	35		Mixed	4451428
CNVR_134	12	82137254	82229884	7	7	7				Loss	92631
CNVR_135	12	83266140	85453952	2	2			2		Gain	2187813
CNVR_136	13	1342729	1425986	1	1	1				Loss	83258
CNVR_137	13	12543348	12808180	1	1			1		Gain	264833
