Chr	Start	End
1	11843822	15237871
1	15868881	17685698
1	22478219	26966818
1	38352766	41089334
1	47078177	50057426
1	55216797	55511354
1	88638760	88904687
1	90813044	95047587
2	7457310	8521798
2	9890166	13411225
2	27366556	28035273
2	28246133	29839570
2	55325381	58384394
2	63897151	64043648
2	64218639	64784574
2	66696730	69527656
2	74228539	78942271
2	81300918	84170290
3	37172756	41992103
3	54369910	55074485
3	69596912	74348506
4	17112	4258236
4	6223614	6425277
4	15849767	16918197
4	17858900	18815510
4	22420101	22775806
4	45664659	45743508
4	58591926	59647887
4	59813010	59953839
4	66482908	67007235
4	72297257	72561411
4	73270175	74466214
4	83708251	85983005
4	106018897	106193024
4	113657341	113889320
5	7674802	9143490
5	27214378	27287454
5	51636267	55590501
5	58003271	60293911
5	89545151	93920010
5	119308044	119348174
5	119729902	119761233
5	119772706	119969515
6	8617907	11875487
6	12296402	12391211
6	32408331	34967750
6	35310546	35956398
6	37962382	37978802
6	39259257	39300440
6	48578627	52941853
6	53295334	54619584
6	63402550	67423466
6	85838311	86207116
6	91636147	91660390
6	96654485	97475077
6	104320493	104423445
7	169828	233662
7	9434503	11402583
7	22890277	23166779
7	23868219	24693994
7	28542358	28657444
7	29560140	29642778
7	33119399	35366992
7	70621019	70822690
7	77854696	82546140
7	86053351	88572978
7	93224876	93259240
7	93522200	95027313
7	105279874	109027529
7	112479572	112610067
8	1873738	4988343
8	17466905	21695762
8	93245032	95307289
9	1291096	5701702
9	15916463	18416803
9	30548977	31196102
9	35343932	36391522
9	46500839	48531748
9	85753001	85927793
10	2315405	2335938
10	14129663	14200836
10	22379850	25265627
10	55708101	55805448
10	87560350	87803366
10	104016609	104169157
11	4164802	4225930
11	16727817	18471801
11	51561085	54097487
11	103363410	106804258
12	32089643	32251435
12	41197611	43814433
12	56865337	58971260
12	59108123	59239590
12	59469389	64338643
12	70488515	70618867
12	70776064	72117025
12	72419043	76870470
12	82137254	82234423
12	83266140	85453952
13	12543348	12808180
13	41643163	41693700
13	43643509	43790405
13	53915515	54076116
14	19993440	20421717
14	77329830	78047789
14	78336871	78386690
14	84594318	84628243
15	74750	1295957
15	2130402	4293948
15	9559760	13254952
15	46539222	46975690
15	47873132	48173151
15	68387254	73255004
15	80329011	80935724
16	5584314	6125517
16	9237728	11121398
16	14500474	16270589
16	61932640	62244131
17	727200	2748831
17	22127045	25405683
17	27097698	27484341
17	30640617	34057200
17	42422307	42685587
17	74497615	75132928
18	27870868	28375091
19	7762820	7902781
19	14543123	14622872
19	27569814	28031919
19	51370101	51767413
19	52740740	52872517
19	55058143	55191677
20	1086515	1196509
20	29347831	29785475
20	45910295	49592680
20	52461469	53957730
20	59957296	61455283
20	68416149	68547457
21	29654748	29762241
21	37926564	39716280
21	52273180	52490155
21	52771584	53876982
21	54181213	54276389
22	9165638	9458557
23	15894	1775946
23	26180182	26369699
23	27286587	27903991
23	28970578	29126339
23	31338261	31726418
24	13158889	13331435
24	26382635	29490959
24	60441853	60476719
25	853665	1791331
25	9621091	9690819
25	10109903	10160301
25	42006514	42189451
26	2898621	5245193
26	25691560	25757447
26	50775926	51283520
27	8160092	12430054
27	15447004	18226356
27	19272412	22448445
28	2313753	2869287
28	8022387	8200649
28	9886410	12593367
28	20332119	24211870
28	24578469	24678582
29	19200818	22047517
29	38767346	39842168
