Chr	bin	name	strand	Start	End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	ID	i.Start	i.End	Frequent	0	1	3	4	Type	Length	Check_gene
1	592	NM_001034679	+	991022	1002224	991102	1000624	4	991022,994378,997108,1000451,	991189,994552,997268,1002224,	0	RCAN1	cmpl	cmpl	0,0,0,1,	CNVR_1	835371	1363932	10		5	5		Mixed	528562	Has_gene
1	592	NM_001077977	+	1040522	1047018	1046439	1046829	3	1040522,1041573,1046389,	1040594,1041668,1047018,	0	KCNE1	cmpl	cmpl	-1,-1,0,	CNVR_1	835371	1363932	10		5	5		Mixed	528562	Has_gene
1	593	NM_001077124	-	1099124	1100143	1099325	1100081	1	1099124,	1100143,	0	FAM243A	cmpl	cmpl	0,	CNVR_1	835371	1363932	10		5	5		Mixed	528562	Has_gene
1	593	NM_001114516	-	1102878	1118312	1105555	1112114	4	1102878,1105542,1112102,1118250,	1103061,1105720,1112201,1118312,	0	SMIM11A	cmpl	cmpl	-1,0,0,-1,	CNVR_1	835371	1363932	10		5	5		Mixed	528562	Has_gene
1	593	NM_001077084	-	1123940	1131748	1124229	1124601	2	1123940,1131642,	1124613,1131748,	0	KCNE2	cmpl	cmpl	0,-1,	CNVR_1	835371	1363932	10		5	5		Mixed	528562	Has_gene
1																CNVR_2	4784221	4923499	2		2			Loss	139279	Non_gene
1	9	NM_001102514	+	6112135	6577796	6112446	6577492	16	6112135,6408320,6412965,6427270,6450282,6453405,6467544,6510919,6518831,6522426,6523590,6529607,6534559,6551137,6558674,6577336,	6112564,6408488,6413223,6427452,6450336,6453579,6467688,6511027,6518945,6522630,6523814,6529726,6534777,6551363,6558925,6577796,	0	GRIK1	cmpl	cmpl	0,1,1,1,0,0,0,0,0,0,0,2,1,0,1,0,	CNVR_3	6154638	6236417	2		2			Loss	81780	Has_gene
1	9	NM_001102514	+	6112135	6577796	6112446	6577492	16	6112135,6408320,6412965,6427270,6450282,6453405,6467544,6510919,6518831,6522426,6523590,6529607,6534559,6551137,6558674,6577336,	6112564,6408488,6413223,6427452,6450336,6453579,6467688,6511027,6518945,6522630,6523814,6529726,6534777,6551363,6558925,6577796,	0	GRIK1	cmpl	cmpl	0,1,1,1,0,0,0,0,0,0,0,2,1,0,1,0,	CNVR_4	6521869	6643841	3			3		Gain	121973	Has_gene
1																CNVR_5	9038916	9080890	1			1		Gain	41975	Non_gene
1																CNVR_6	11843822	15237871	26		14	11	1	Mixed	3394050	Non_gene
1																CNVR_7	15491288	15605365	2		2			Loss	114078	Non_gene
1																CNVR_8	15868881	17685698	65	2	35	25	3	Mixed	1816818	Non_gene
1																CNVR_9	20036999	20062196	1		1			Loss	25198	Non_gene
1	94	NM_001035404	+	22617488	22675629	22617570	22675032	8	22617488,22643357,22648048,22652571,22655360,22660557,22663324,22674847,	22617627,22643429,22648198,22652701,22655512,22660761,22663475,22675629,	0	SAMSN1	cmpl	cmpl	0,0,0,0,1,0,0,1,	CNVR_10	22478219	24539637	8		4	4		Mixed	2061419	Has_gene
1	758	NM_001038505	+	22783918	22794032	22783951	22793412	5	22783918,22786490,22789569,22791638,22792744,	22783976,22786831,22789783,22791806,22794032,	0	HSPA13	cmpl	cmpl	0,1,0,1,1,	CNVR_10	22478219	24539637	8		4	4		Mixed	2061419	Has_gene
1	760	NM_001040567	-	22948040	22966832	22949277	22966805	5	22948040,22952500,22960607,22962011,22966709,	22949589,22952597,22960680,22962174,22966832,	0	RBM11	cmpl	cmpl	0,2,1,0,0,	CNVR_10	22478219	24539637	8		4	4		Mixed	2061419	Has_gene
1	760	NM_001105006	+	22966712	22989866	22966960	22989571	2	22966712,22989113,	22966991,22989866,	0	LIPI	cmpl	cmpl	0,1,	CNVR_10	22478219	24539637	8		4	4		Mixed	2061419	Has_gene
1																CNVR_11	24980365	24994877	1		1			Loss	14513	Non_gene
1	12	NM_001192888	-	26116519	27253380	26118196	27253329	31	26116519,26119441,26125640,26135466,26138976,26149377,26152545,26155500,26157756,26160643,26167939,26169397,26173529,26177792,26181314,26182387,26183476,26189576,26189826,26190163,26191741,26204864,26207385,26211500,26235717,26238289,26238928,26265354,26493566,26706098,27253241,	26118211,26119635,26125949,26135619,26139383,26149626,26152690,26155608,26158092,26160798,26167982,26169424,26173727,26177964,26181436,26182619,26183598,26189743,26189995,26190245,26191947,26205036,26207510,26211509,26235845,26238428,26239049,26265512,26493893,26706182,27253380,	0	ROBO1	cmpl	cmpl	0,1,1,1,2,2,1,1,1,2,1,1,1,0,1,0,1,2,1,0,1,0,1,1,2,1,0,1,1,1,0,	CNVR_12	26131118	26638048	2		1	1		Mixed	506931	Has_gene
1																CNVR_13	27419247	27824918	1		1			Loss	405672	Non_gene
1	12	NM_001122729	-	29107840	29418737	29107840	29418737	16	29107840,29116080,29137943,29139706,29189315,29194989,29202780,29207138,29211557,29258390,29263103,29265291,29266497,29309771,29352708,29418585,	29107897,29116198,29138074,29139891,29189487,29195100,29202879,29207266,29211673,29258600,29263194,29265427,29266623,29309887,29352878,29418737,	0	GBE1	cmpl	cmpl	0,2,0,1,0,0,0,1,2,2,1,0,0,1,2,0,	CNVR_14	29267627	29315230	1		1			Loss	47604	Has_gene
1																CNVR_15	30156822	32078797	30		15	13	2	Mixed	1921976	Non_gene
1																CNVR_16	32598751	33176151	4		2	2		Mixed	577401	Non_gene
