CNVR_ID	Chr	Start	End	Frequent	0	1	3	4	Type	Length	version	Start_ARS_Map	End_ARS_Map	Check_overlap	Overlap_length
CNVR_1	1	14652420	14717338	1	1				Loss	64919	Version_UMD		15250173	Non-Overlap	
CNVR_10	1	72115021	72350394	1	1				Loss	235374	Version_UMD		71741471	Non-Overlap	
CNVR_100	9	12860193	12946867	5	5				Loss	86675	Version_UMD	12645042	12730808	Non-Overlap	
CNVR_101	9	15916463	18416803	1			1		Gain	2500341	Version_UMD	15709574	18194116	Overlap	270727
CNVR_101	9	15916463	18416803	1			1		Gain	2500341	Version_UMD	15709574	18194116	Overlap	36161
CNVR_102	9	30939888	30966432	2	2				Loss	26545	Version_UMD	30547032	30573582	Overlap	26551
CNVR_103	9	35343932	36391522	2			2		Gain	1047591	Version_UMD	34887270	35923167	Overlap	767874
CNVR_104	9	36407736	36503439	1	1				Loss	95704	Version_UMD		36034000	Non-Overlap	
CNVR_105	9	46200108	46282758	1	1				Loss	82651	Version_UMD	45606562	45689245	Non-Overlap	
CNVR_106	9	47208243	48175366	1		1			Loss	967124	Version_UMD	46627675	47588878	Overlap	961204
CNVR_107	9	79155179	80528413	1			1		Gain	1373235	Version_UMD	78116942	79494934	Non-Overlap	
CNVR_108	9	85809578	85927793	1	1				Loss	118216	Version_UMD	84752377	84841375	Non-Overlap	
CNVR_109	9	90547503	90600872	1	1				Loss	53370	Version_UMD	89377321	89430687	Non-Overlap	
CNVR_11	1	88638760	88904687	2			2		Gain	265928	Version_UMD	88012422	88278205	Overlap	214245
CNVR_110	9	95941344	95976235	4	4				Loss	34892	Version_UMD	94501675	94536565	Non-Overlap	
CNVR_111	10	2315405	2335938	1	1				Loss	20534	Version_UMD	2367278	2387809	Overlap	9932
CNVR_112	10	14129663	14200836	1			1		Gain	71174	Version_UMD	14157673	14228843	Overlap	71171
CNVR_113	10	22379850	25265627	53	43	1	9		Mixed	2885778	Version_UMD		25171229	Non-Overlap	
CNVR_114	10	27053298	27098905	1	1				Loss	45608	Version_UMD	27012287	27057896	Non-Overlap	
CNVR_115	10	34862923	35014790	3	3				Loss	151868	Version_UMD	34762781	34914334	Non-Overlap	
CNVR_116	10	55708101	55805448	3	3				Loss	97348	Version_UMD	55628092	55725724	Overlap	65359
CNVR_117	10	77091346	77143173	1	1				Loss	51828	Version_UMD	76780386	76832316	Non-Overlap	
CNVR_118	10	87560350	87800552	2			2		Gain	240203	Version_UMD	110301720	110052109	Non-Overlap	
CNVR_119	10	104016609	104152410	2			1	1	Gain	135802	Version_UMD	102986864	103129795	Overlap	99489
CNVR_12	1	90813044	95047587	2	1		1		Mixed	4234544	Version_UMD	90408826	94402721	Overlap	36819
CNVR_12	1	90813044	95047587	2	1		1		Mixed	4234544	Version_UMD	90408826	94402721	Overlap	2223249
CNVR_120	11	4177123	4225930	1	1				Loss	48808	Version_UMD	4207906	4256064	Overlap	48159
CNVR_121	11	16727817	18471801	1			1		Gain	1743985	Version_UMD	16705395	18452325	Overlap	77754
CNVR_121	11	16727817	18471801	1			1		Gain	1743985	Version_UMD	16705395	18452325	Overlap	951070
CNVR_122	11	39888471	39936968	2			2		Gain	48498	Version_UMD	40034783	40079795	Overlap	29697
CNVR_123	11	52004919	52140975	1	1				Loss	136057	Version_UMD	52091618	52227673	Overlap	136056
CNVR_124	11	103363410	106804258	4		1	1	2	Mixed	3440849	Version_UMD	103314790	105469045	Overlap	751133
CNVR_124	11	103363410	106804258	4		1	1	2	Mixed	3440849	Version_UMD	103314790	105469045	Overlap	197305
CNVR_125	12	32089643	32182960	7	2		5		Mixed	93318	Version_UMD	17215	103201	Non-Overlap	
CNVR_126	12	34446868	34505806	1	1				Loss	58939	Version_UMD	34199608	34258544	Non-Overlap	
CNVR_127	12	42098999	43799317	2		1	1		Mixed	1700319	Version_UMD	41789189	43504096	Overlap	1714908
CNVR_128	12	57900635	58725768	27	1	24	2		Mixed	825134	Version_UMD	57541708	58363778	Overlap	822071
CNVR_129	12	59108123	59239590	5			5		Gain	131468	Version_UMD	58746483	58878268	Overlap	131786
CNVR_13	1	142904469	142999555	4	4				Loss	95087	Version_UMD	141411087	0	Non-Overlap	
CNVR_130	12	61667023	61759245	1	1				Loss	92223	Version_UMD	61307520	61401960	Overlap	94441
CNVR_131	12	70488515	70618867	6	6				Loss	130353	Version_UMD	70124010	70058178	Non-Overlap	
CNVR_132	12	70816749	72117025	14	14				Loss	1300277	Version_UMD	71508007		Non-Overlap	
CNVR_133	12	72419043	76870470	89	53	1	35		Mixed	4451428	Version_UMD	71881795	73015116	Overlap	68474
CNVR_133	12	72419043	76870470	89	53	1	35		Mixed	4451428	Version_UMD	71881795	73015116	Overlap	68835
CNVR_134	12	82137254	82229884	7	7				Loss	92631	Version_UMD	78154330	78246588	Overlap	83154
CNVR_135	12	83266140	85453952	2			2		Gain	2187813	Version_UMD	79279720	81461384	Overlap	1128881
CNVR_136	13	1342729	1425986	1	1				Loss	83258	Version_UMD		1526992	Non-Overlap	
CNVR_137	13	12543348	12808180	1			1		Gain	264833	Version_UMD	12485887	12748454	Overlap	228421
CNVR_138	13	41643163	41678593	1	1				Loss	35431	Version_UMD	41276409	41311826	Overlap	1
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	110401
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	86983
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	205842
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	48885
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	699121
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	221912
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	191309
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	47169
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	55506
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	82672
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	64991
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	39651
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	119954
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	56906
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	43711
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	17355
CNVR_139	13	43643509	43771619	11			11		Gain	128111	Version_UMD	43196536	157753191	Overlap	65904
CNVR_14	2	7457310	8521798	9	8		1		Mixed	1064489	Version_UMD	7515330	8523016	Overlap	805735
CNVR_140	13	53838879	53862891	1	1				Loss	24013	Version_UMD	53368037	53391697	Non-Overlap	
CNVR_141	13	53915515	54076116	6	6				Loss	160602	Version_UMD	53444123	53603359	Overlap	48885
CNVR_142	13	58163971	58253335	1	1				Loss	89365	Version_UMD	57623027		Non-Overlap	
CNVR_143	14	19993440	20421717	5			5		Gain	428278	Version_UMD	18391223	18812033	Overlap	420811
CNVR_144	14	77329830	77442081	2	2				Loss	112252	Version_UMD	74953884	75064248	Overlap	110365
CNVR_145	14	78336871	78386690	5	5				Loss	49820	Version_UMD	75956030	76005515	Overlap	49486
CNVR_146	14	84606028	84628243	1			1		Gain	22216	Version_UMD	82225051	82247268	Overlap	22218
CNVR_147	15	74750	1295957	1			1		Gain	1221208	Version_UMD	101784	1094876	Overlap	726344
CNVR_148	15	2130402	4293948	6		5	1		Mixed	2163547	Version_UMD	1905039	4073281	Overlap	1011414
CNVR_149	15	12689785	12751702	1	1				Loss	61918	Version_UMD	12426564	12486367	Overlap	59804
CNVR_15	2	9890166	13411225	12	11		1		Mixed	3521060	Version_UMD	9879504	13382039	Overlap	3177153
CNVR_150	15	18569217	18664416	1	1				Loss	95200	Version_UMD	18286949	18377874	Non-Overlap	
CNVR_151	15	46539222	46975690	2			2		Gain	436469	Version_UMD	45854304	46354274	Overlap	48366
CNVR_151	15	46539222	46975690	2			2		Gain	436469	Version_UMD	45854304	46354274	Overlap	164147
CNVR_152	15	47873132	48075574	10	8		2		Mixed	202443	Version_UMD	47377734	47491314	Overlap	1
CNVR_152	15	47873132	48075574	10	8		2		Mixed	202443	Version_UMD	47377734	47491314	Overlap	52590
CNVR_153	15	55459883	55502718	1	1				Loss	42836	Version_UMD	54683112		Non-Overlap	
CNVR_154	15	68021790	68058858	1	1				Loss	37069	Version_UMD	67203221	67239891	Non-Overlap	
CNVR_155	15	68387254	73255004	1			1		Gain	4867751	Version_UMD	67568308	72384357	Overlap	69219
CNVR_155	15	68387254	73255004	1			1		Gain	4867751	Version_UMD	67568308	72384357	Overlap	48576
CNVR_155	15	68387254	73255004	1			1		Gain	4867751	Version_UMD	67568308	72384357	Overlap	1257564
CNVR_155	15	68387254	73255004	1			1		Gain	4867751	Version_UMD	67568308	72384357	Overlap	23061
CNVR_155	15	68387254	73255004	1			1		Gain	4867751	Version_UMD	67568308	72384357	Overlap	60268
CNVR_156	15	80329011	80935724	32	8	3	19	2	Mixed	606714	Version_UMD	79448185	79666048	Overlap	163532
CNVR_157	16	5584314	6125517	4	2		2		Mixed	541204	Version_UMD	5733578	6196805	Overlap	463228
CNVR_158	16	6208012	6272908	3	3				Loss	64897	Version_UMD	6368752	6434297	Non-Overlap	
CNVR_159	16	10859069	10958964	1		1			Loss	99896	Version_UMD	10254850	10354010	Overlap	99161
CNVR_16	2	13597108	13668484	1			1		Gain	71377	Version_UMD	13567931	13637158	Overlap	69228
CNVR_160	16	12465527	12508155	3	3				Loss	42629	Version_UMD	11845599	11891004	Non-Overlap	
CNVR_161	16	15126214	15293292	43	43				Loss	167079	Version_UMD	14492399	14657972	Overlap	165574
CNVR_162	16	47971231	48088496	3	3				Loss	117266	Version_UMD	47122872	47239304	Non-Overlap	
CNVR_163	16	61932640	62244131	18			18		Gain	311492	Version_UMD	60497554	60807765	Overlap	230076
CNVR_164	17	727200	2748831	1			1		Gain	2021632	Version_UMD	750714	2766673	Overlap	742201
CNVR_165	17	22285150	22378265	1	1				Loss	93116	Version_UMD	21967677	22060904	Overlap	93228
CNVR_166	17	25010293	25167004	3	3				Loss	156712	Version_UMD	24684161	24741438	Overlap	57278
CNVR_167	17	27303135	27484341	2	2				Loss	181207	Version_UMD	26883751	27068312	Overlap	184562
CNVR_168	17	30640617	34057200	2			2		Gain	3416584	Version_UMD	30227652	33693618	Overlap	1306930
CNVR_169	17	42422307	42685587	2		2			Loss	263281	Version_UMD	41446019	41709619	Overlap	263601
CNVR_17	2	27366556	28035273	21			21		Gain	668718	Version_UMD	27318294	27979992	Overlap	661699
CNVR_170	17	47608485	47667026	1	1				Loss	58542	Version_UMD	46611094	46669627	Non-Overlap	
CNVR_171	17	50685977	51000846	2	2				Loss	314870	Version_UMD	49567179	49605629	Non-Overlap	
CNVR_172	17	74723634	74925889	2			1	1	Gain	202256	Version_UMD	72708941	72912770	Overlap	203830
CNVR_173	18	2815483	2864232	1			1		Gain	48750	Version_UMD	2776211	2824948	Non-Overlap	
CNVR_174	18	27870868	28375091	2			2		Gain	504224	Version_UMD	27779305	28283763	Overlap	342989
CNVR_175	18	38815705	38883296	1	1				Loss	67592	Version_UMD	38681894		Non-Overlap	
CNVR_176	18	61644854	61929947	17	13		4		Mixed	285094	Version_UMD	61288915	0	Non-Overlap	
CNVR_177	18	63896972	63931097	1	1				Loss	34126	Version_UMD	63744408	63763349	Non-Overlap	
CNVR_178	19	7762820	7902781	4	4				Loss	139962	Version_UMD	7539293		Non-Overlap	
CNVR_179	19	14579657	14606603	1	1				Loss	26947	Version_UMD	14265926	14292872	Overlap	26947
CNVR_18	2	28246133	29839570	1			1		Gain	1593438	Version_UMD	28158461	29743773	Overlap	39891
CNVR_180	19	27576066	28031919	2			1	1	Gain	455854	Version_UMD	26942729	27421507	Overlap	478779
CNVR_181	19	51478494	51538272	1	1				Loss	59779	Version_UMD	50879654	50929851	Overlap	50198
CNVR_182	19	52740740	52872517	2			2		Gain	131778	Version_UMD	52122464	52254545	Overlap	132082
CNVR_183	19	55101341	55191677	1			1		Gain	90337	Version_UMD	54480415	54571657	Overlap	91243
CNVR_184	20	1086515	1196509	5			5		Gain	109995	Version_UMD	1197732	1307811	Overlap	110080
CNVR_185	20	9813884	9890424	1	1				Loss	76541	Version_UMD	9887590	9963549	Non-Overlap	
CNVR_186	20	10253023	10424451	1			1		Gain	171429	Version_UMD	10328272	10500984	Overlap	109870
CNVR_187	20	22960402	23017834	1	1				Loss	57433	Version_UMD		22996991	Non-Overlap	
CNVR_188	20	29717135	29785475	1	1				Loss	68341	Version_UMD	29711188	29779527	Overlap	68340
CNVR_189	20	46028649	46091593	2	2				Loss	62945	Version_UMD	46005764	46068249	Overlap	62486
CNVR_19	2	55325381	58384394	2			2		Gain	3059014	Version_UMD	55118213	58153528	Overlap	1707185
CNVR_19	2	55325381	58384394	2			2		Gain	3059014	Version_UMD	55118213	58153528	Overlap	64244
CNVR_190	20	53346454	53410194	1	1				Loss	63741	Version_UMD	53269590	53333752	Overlap	64163
CNVR_191	20	60147560	61455283	2	1		1		Mixed	1307724	Version_UMD	60069895	61363846	Overlap	8601
CNVR_191	20	60147560	61455283	2	1		1		Mixed	1307724	Version_UMD	60069895	61363846	Overlap	337415
CNVR_191	20	60147560	61455283	2	1		1		Mixed	1307724	Version_UMD	60069895	61363846	Overlap	111262
CNVR_192	20	68499446	68547457	1	1				Loss	48012	Version_UMD	68361408	68409410	Non-Overlap	
CNVR_193	21	13657850	13715904	2	2				Loss	58055	Version_UMD	13309827	13368224	Non-Overlap	
CNVR_194	21	20063553	20259891	17	16		1		Mixed	196339	Version_UMD	19657415	19845660	Non-Overlap	
CNVR_195	21	29654748	29762241	1			1		Gain	107494	Version_UMD	29124387	29231528	Overlap	107142
CNVR_196	21	37941393	37993399	1	1				Loss	52007	Version_UMD		37595949	Non-Overlap	
CNVR_197	21	52273180	52364049	6	6				Loss	90870	Version_UMD	51794319	51885011	Overlap	28658
CNVR_198	21	52771584	53285393	1		1			Loss	513810	Version_UMD	52292038		Non-Overlap	
CNVR_199	21	54181213	54276389	4	4				Loss	95177	Version_UMD	53697731	53800414	Overlap	26134
CNVR_2	1	15937076	16069418	1			1		Gain	132343	Version_UMD	16447333	16579388	Overlap	132056
CNVR_20	2	63897151	64043648	9			9		Gain	146498	Version_UMD	63565463	63711962	Overlap	146500
CNVR_200	22	9165638	9458557	1		1			Loss	292920	Version_UMD	9129405	9424056	Overlap	265644
CNVR_201	22	34096831	34168563	1	1				Loss	71733	Version_UMD	33978776	34051582	Non-Overlap	
CNVR_202	22	43894412	44172715	2	2				Loss	278304	Version_UMD	43350541	43628755	Non-Overlap	
CNVR_203	22	57444701	57486105	1	1				Loss	41405	Version_UMD	56788186	56829490	Non-Overlap	
CNVR_204	23	15894	1775946	1			1		Gain	1760053	Version_UMD	104488	1869044	Non-Overlap	
CNVR_205	23	24580918	24671650	2	1		1		Mixed	90733	Version_UMD	24836032	24926760	Non-Overlap	
CNVR_206	23	25222914	25978647	1	1				Loss	755734	Version_UMD	25467937	25880641	Overlap	169616
CNVR_207	23	26255454	26314846	18	18				Loss	59393	Version_UMD		25708712	Non-Overlap	
CNVR_208	23	27286587	27903991	3	2		1		Mixed	617405	Version_UMD	27495679	27980936	Overlap	239238
CNVR_208	23	27286587	27903991	3	2		1		Mixed	617405	Version_UMD	27495679	27980936	Overlap	97425
CNVR_209	23	28970578	29126339	4	3		1		Mixed	155762	Version_UMD	29169841	29325564	Overlap	127542
CNVR_21	2	64218639	64784574	1	1				Loss	565936	Version_UMD	63886842	64449063	Overlap	538297
CNVR_210	23	31338261	31707092	1			1		Gain	368832	Version_UMD	31580954	31945721	Overlap	364768
CNVR_211	24	13255894	13331435	7	7				Loss	75542	Version_UMD	12952531	13028152	Overlap	75622
CNVR_212	24	13564505	13604334	1	1				Loss	39830	Version_UMD	13261223	13301051	Non-Overlap	
CNVR_213	24	17315979	17382473	2	2				Loss	66495	Version_UMD	17011538	17078030	Non-Overlap	
CNVR_214	24	26382635	29490959	4	1		2	1	Mixed	3108325	Version_UMD	26069138	29141878	Overlap	1662097
CNVR_215	24	52356772	52388202	2	2				Loss	31431	Version_UMD	51887107	51918535	Non-Overlap	
CNVR_216	24	60441853	60476719	1			1		Gain	34867	Version_UMD	59955268	59990135	Overlap	34868
CNVR_217	25	853665	1771425	1		1			Loss	917761	Version_UMD	854830	1769456	Overlap	914627
CNVR_218	25	9621091	9690819	2			2		Gain	69729	Version_UMD	9559212	9628737	Overlap	69526
CNVR_219	25	10131703	10160301	1	1				Loss	28599	Version_UMD	10068745	10097205	Overlap	28461
CNVR_22	2	66696730	69527656	2	1		1		Mixed	2830927	Version_UMD	66345695	69152024	Overlap	66894
CNVR_22	2	66696730	69527656	2	1		1		Mixed	2830927	Version_UMD	66345695	69152024	Overlap	304677
CNVR_22	2	66696730	69527656	2	1		1		Mixed	2830927	Version_UMD	66345695	69152024	Overlap	610034
CNVR_220	25	42006514	42115088	1			1		Gain	108575	Version_UMD	41452283	41559758	Overlap	20358
CNVR_220	25	42006514	42115088	1			1		Gain	108575	Version_UMD	41452283	41559758	Overlap	26925
CNVR_221	26	3010798	3087092	2	1		1		Mixed	76295	Version_UMD		3046175	Non-Overlap	
CNVR_222	26	12364119	12500044	1	1				Loss	135926	Version_UMD	12369234	12462038	Non-Overlap	
CNVR_223	26	21708133	21787462	2	2				Loss	79330	Version_UMD	21840164	21919481	Non-Overlap	
