name2	Frequency	ID	Chr	CNVR_Start	CNVR_End
OR5W39	72	CNVR_306	7	310937	435584
19939.4	67	CNVR_847	23	25560755	25730370
OR8J3F	67	CNVR_615	15	78804694	79611716
77856.1	63	CNVR_615	15	78804694	79611716
OR9G4	60	CNVR_615	15	78804694	79611716
BLA-DQB	59	CNVR_847	23	25560755	25730370
OR5AL8	59	CNVR_615	15	78804694	79611716
75223.1	51	CNVR_514	12	71134701	71508007
OR5T2	48	CNVR_615	15	78804694	79611716
OR8K62	48	CNVR_615	15	78804694	79611716
OR8K65P	48	CNVR_615	15	78804694	79611716
OR8K66	48	CNVR_615	15	78804694	79611716
30481.5	39	CNVR_513	12	69804346	70777223
36965.5	39	CNVR_513	12	69804346	70777223
50045.4	38	CNVR_513	12	69804346	70777223
04168.6	34	CNVR_539	13	43322783	43433183
23297.6	34	CNVR_539	13	43322783	43433183
23326.6	34	CNVR_539	13	43322783	43433183
23853.6	34	CNVR_539	13	43322783	43433183
80904.1	34	CNVR_539	13	43322783	43433183
PLEKHA8	34	CNVR_185	4	66099208	66429603
35484.5	33	CNVR_513	12	69804346	70777223
CSMD3	33	CNVR_573	14	50591566	54441985
OR5AS1	33	CNVR_932	28	39225	466053
OR5D18K	33	CNVR_932	28	39225	466053
OR5L20	33	CNVR_932	28	39225	466053
OR7A112	33	CNVR_312	7	8782634	10494698
CNGB3	31	CNVR_578	14	75956030	76005515
GBP4	31	CNVR_130	3	54211974	54781990
MTURN	31	CNVR_185	4	66099208	66429603
OR8J16	31	CNVR_615	15	78804694	79611716
OR8J19	31	CNVR_615	15	78804694	79611716
OR8K1	31	CNVR_615	15	78804694	79611716
OR8K5B	31	CNVR_615	15	78804694	79611716
OR8K64	31	CNVR_615	15	78804694	79611716
18484.5	30	CNVR_847	23	25560755	25730370
67367.1	30	CNVR_312	7	8782634	10494698
FKBP14	30	CNVR_185	4	66099208	66429603
GBP2	30	CNVR_130	3	54211974	54781990
OR2M10	28	CNVR_340	7	41936355	41982734
79237.1	26	CNVR_516	12	71820369	71950268
73131.1	25	CNVR_516	12	71820369	71950268
GBP6	25	CNVR_130	3	54211974	54781990
TECRL	25	CNVR_288	6	77586306	82543678
53797.3	24	CNVR_312	7	8782634	10494698
71063.1	24	CNVR_130	3	54211974	54781990
CERS6	24	CNVR_75	2	27318294	27979992
78744.1	22	CNVR_312	7	8782634	10494698
78872.1	22	CNVR_312	7	8782634	10494698
