Chr	bin	name	strand	g_Start	g_End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	Sample_ID	CNV_Start	CNV_End	CNV_Value	CNV_Conf	Comment	Empty	Length	Check_gene
11	1395	NM_001100301	+	106229011	106233455	106229029	106230830	6	106229011,106229805,106229987,106230230,106230412,106230671,	106229065,106229915,106230113,106230337,106230588,106233455,	0	CLIC3	cmpl	cmpl	0,0,2,2,1,0,	201094560060_R02C01	106224443	106359588	4	38.40059			135146	Has_gene
11	1395	NM_001100300	-	106231440	106233013	106231600	106232923	6	106231440,106231737,106231979,106232135,106232680,106232810,	106231640,106231822,106232054,106232286,106232741,106233013,	0	PAXX	cmpl	cmpl	2,1,1,0,2,0,	201094560060_R02C01	106224443	106359588	4	38.40059			135146	Has_gene
11	1395	NM_174791	-	106247574	106250629	106248078	106250581	7	106247574,106248078,106248711,106248954,106249433,106249616,106250467,	106247730,106248104,106248813,106249071,106249510,106249756,106250629,	0	PTGDS	cmpl	cmpl	-1,1,1,1,2,0,0,	201094560060_R02C01	106224443	106359588	4	38.40059			135146	Has_gene
11	1395	NM_001110076	-	106284924	106286380	106285388	106286341	6	106284924,106285177,106285304,106285823,106285997,106286203,	106285096,106285216,106285756,106285894,106286134,106286380,	0	C8G	cmpl	cmpl	-1,-1,1,2,0,0,	201094560060_R02C01	106224443	106359588	4	38.40059			135146	Has_gene
11	1395	NM_001192469	+	106287253	106291495	106288325	106290995	9	106287253,106288302,106288658,106289087,106289385,106289608,106290227,106290447,106290751,	106287322,106288518,106288816,106289262,106289534,106290026,106290375,106290660,106291495,	0	FBXW5	cmpl	cmpl	-1,0,1,0,1,0,1,2,2,	201094560060_R02C01	106224443	106359588	4	38.40059			135146	Has_gene
11	1396	NM_001035307	+	106320379	106324286	106320473	106323924	5	106320379,106322175,106322556,106323298,106323862,	106320551,106322227,106322717,106323392,106324286,	0	EDF1	cmpl	cmpl	0,0,1,0,1,	201094560060_R02C01	106224443	106359588	4	38.40059			135146	Has_gene
11	1396	NM_001143873	-	106325455	106332942	106325455	106332942	27	106325455,106325615,106326269,106326461,106326673,106326950,106327236,106327407,106327648,106327872,106328149,106328428,106328678,106329362,106329609,106329831,106330095,106330435,106330692,106330872,106331162,106331404,106331564,106331854,106332059,106332306,106332896,	106325497,106325791,106326378,106326589,106326808,106327097,106327327,106327526,106327786,106328080,106328286,106328563,106328795,106329494,106329735,106330011,106330180,106330609,106330781,106331010,106331288,106331489,106331695,106331980,106332233,106332414,106332942,	0	MAMDC4	cmpl	cmpl	0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,	201094560060_R02C01	106224443	106359588	4	38.40059			135146	Has_gene
11	1396	NM_001076516	-	106334243	106335688	106334414	106335636	3	106334243,106334989,106335476,	106334507,106335114,106335688,	0	PHPT1	cmpl	cmpl	0,1,0,	201094560060_R02C01	106224443	106359588	4	38.40059			135146	Has_gene
11	1396	NM_001076817	-	106344497	106363593	106344947	106363426	15	106344497,106345217,106345919,106346414,106346719,106347497,106347864,106349801,106350979,106351556,106353414,106354265,106354631,106356082,106363296,	106345142,106345276,106346091,106346625,106346935,106347648,106348157,106349905,106351085,106351697,106353506,106354318,106354679,106356217,106363593,	0	RABL6	cmpl	cmpl	0,1,0,2,2,1,2,0,2,2,0,1,1,1,0,	201094560060_R02C01	106224443	106359588	4	38.40059			135146	Has_gene
12																201094560060_R02C01	58073538	58417437	1	87.44897			343900	Non_gene
19	795	NM_001191382	-	27573454	27581405	27574026	27581405	15	27573454,27574619,27575231,27575551,27575793,27576111,27576790,27576952,27577181,27577398,27577576,27577851,27578079,27578680,27581211,	27574475,27574838,27575435,27575683,27575922,27576179,27576867,27577092,27577251,27577489,27577712,27577949,27578225,27578750,27581405,	0	DVL2	cmpl	cmpl	1,1,1,1,1,2,0,1,0,2,1,2,0,2,0,	201094560060_R02C01	27576066	27643677	4	37.37477			67612	Has_gene
